source_worksheet,source_cell,source_row,source_workbook,workbook_sha256,period,period_source,id_pesquisa,questionnaire_id,question_id,questionnaire,question,course_code,course_literal,sector_code,sector_literal,response_type,institution,category,value,unit,universe,denominator,notes,structural_status
dados,A13304:N13304,13304,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),Questoes!C2:C48,9164,283,1052,SEGURANÇA,Proteção e segurança predial e do patrimônio público:,40001016064G0,INFORMÁTICA BIOMÉDICA,110,SETOR DE CIÊNCIAS EXATAS,A,UFPR,SEGURANÇA,Bom,literal response,three course respondents as explicitly labelled in Quantidade de respostas,3,One source response row. ID_PESQUISA is retained literally and is not reinterpreted as a person identifier. Course code/name are copied from the same row; respondent count is copied from the course quantity table.,direct source row; no category reinterpretation
dados,A13305:N13305,13305,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),Questoes!C2:C48,9164,283,1053,SEGURANÇA,Proteção e segurança das pessoas nos campi:,40001016064G0,INFORMÁTICA BIOMÉDICA,110,SETOR DE CIÊNCIAS EXATAS,A,UFPR,SEGURANÇA,Bom,literal response,three course respondents as explicitly labelled in Quantidade de respostas,3,One source response row. ID_PESQUISA is retained literally and is not reinterpreted as a person identifier. Course code/name are copied from the same row; respondent count is copied from the course quantity table.,direct source row; no category reinterpretation
dados,A13306:N13306,13306,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),Questoes!C2:C48,9164,283,1054,SEGURANÇA,"Adequação às normas de segurança dos ambientes externos e internos (plano de fuga em caso de incêndio, brigada de incêndio, placas de sinalização, sinais de trânsito, etc.):",40001016064G0,INFORMÁTICA BIOMÉDICA,110,SETOR DE CIÊNCIAS EXATAS,A,UFPR,SEGURANÇA,Bom,literal response,three course respondents as explicitly labelled in Quantidade de respostas,3,One source response row. ID_PESQUISA is retained literally and is not reinterpreted as a person identifier. Course code/name are copied from the same row; respondent count is copied from the course quantity table.,direct source row; no category reinterpretation
dados,A13307:N13307,13307,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),Questoes!C2:C48,9164,284,1055,AMBIENTES,"Conservação e manutenção das áreas internas comuns (corredores, auditórios, espaços de convivência e alimentação, etc.):",40001016064G0,INFORMÁTICA BIOMÉDICA,110,SETOR DE CIÊNCIAS EXATAS,A,UFPR,AMBIENTES,Ruim,literal response,three course respondents as explicitly labelled in Quantidade de respostas,3,One source response row. ID_PESQUISA is retained literally and is not reinterpreted as a person identifier. Course code/name are copied from the same row; respondent count is copied from the course quantity table.,direct source row; no category reinterpretation
dados,A13308:N13308,13308,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),Questoes!C2:C48,9164,284,1056,AMBIENTES,"Conservação e manutenção das áreas externas (calçadas, vias de acesso, outros):",40001016064G0,INFORMÁTICA BIOMÉDICA,110,SETOR DE CIÊNCIAS EXATAS,A,UFPR,AMBIENTES,Bom,literal response,three course respondents as explicitly labelled in Quantidade de respostas,3,One source response row. ID_PESQUISA is retained literally and is not reinterpreted as a person identifier. Course code/name are copied from the same row; respondent count is copied from the course quantity table.,direct source row; no category reinterpretation
dados,A13309:N13309,13309,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),Questoes!C2:C48,9164,284,1057,AMBIENTES,Instalações sanitárias:,40001016064G0,INFORMÁTICA BIOMÉDICA,110,SETOR DE CIÊNCIAS EXATAS,A,UFPR,AMBIENTES,Bom,literal response,three course respondents as explicitly labelled in Quantidade de respostas,3,One source response row. ID_PESQUISA is retained literally and is not reinterpreted as a person identifier. Course code/name are copied from the same row; respondent count is copied from the course quantity table.,direct source row; no category reinterpretation
dados,A13310:N13310,13310,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),Questoes!C2:C48,9164,284,1058,AMBIENTES,"Acessibilidade (elevadores, rampas de acesso, adequação às demandas de pessoas com deficiência):",40001016064G0,INFORMÁTICA BIOMÉDICA,110,SETOR DE CIÊNCIAS EXATAS,A,UFPR,AMBIENTES,Bom,literal response,three course respondents as explicitly labelled in Quantidade de respostas,3,One source response row. ID_PESQUISA is retained literally and is not reinterpreted as a person identifier. Course code/name are copied from the same row; respondent count is copied from the course quantity table.,direct source row; no category reinterpretation
dados,A13311:N13311,13311,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),Questoes!C2:C48,9164,285,1059,SERVIÇOS TERCEIRIZADOS,Qualidade dos serviços de limpeza e higiene dos ambientes:,40001016064G0,INFORMÁTICA BIOMÉDICA,110,SETOR DE CIÊNCIAS EXATAS,A,UFPR,SERVIÇOS TERCEIRIZADOS,Bom,literal response,three course respondents as explicitly labelled in Quantidade de respostas,3,One source response row. ID_PESQUISA is retained literally and is not reinterpreted as a person identifier. Course code/name are copied from the same row; respondent count is copied from the course quantity table.,direct source row; no category reinterpretation
dados,A13312:N13312,13312,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),Questoes!C2:C48,9164,285,1060,SERVIÇOS TERCEIRIZADOS,Qualidade dos serviços de manutenção dos ambientes internos e externos:,40001016064G0,INFORMÁTICA BIOMÉDICA,110,SETOR DE CIÊNCIAS EXATAS,A,UFPR,SERVIÇOS TERCEIRIZADOS,Excelente,literal response,three course respondents as explicitly labelled in Quantidade de respostas,3,One source response row. ID_PESQUISA is retained literally and is not reinterpreted as a person identifier. Course code/name are copied from the same row; respondent count is copied from the course quantity table.,direct source row; no category reinterpretation
dados,A13313:N13313,13313,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),Questoes!C2:C48,9164,285,1061,SERVIÇOS TERCEIRIZADOS,Qualidade do atendimento nos restaurantes universitários :,40001016064G0,INFORMÁTICA BIOMÉDICA,110,SETOR DE CIÊNCIAS EXATAS,A,UFPR,SERVIÇOS TERCEIRIZADOS,Excelente,literal response,three course respondents as explicitly labelled in Quantidade de respostas,3,One source response row. ID_PESQUISA is retained literally and is not reinterpreted as a person identifier. Course code/name are copied from the same row; respondent count is copied from the course quantity table.,direct source row; no category reinterpretation
