source_worksheet,source_cell,source_row,source_workbook,workbook_sha256,posicao_formulario,cod_pesquisa,pesquisa,cod_questionario,eixo_questionario,cabeçalho_questionario,rodape_cabecalho,cod_questao_matriz,enunciado_questao_matriz,cod_questao,enunciado_questao,rodape_enunciado_questao,resp 1,resp 2,resp 3,resp 4,resp 5,resp 6,tipo_quest,qtd_quest,class_quest
Questoes,A2:U2,2,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,1,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),283,SEGURANÇA,Aponte sua percepção sobre as ações de segurança institucional nos ambientes da UFPR que você mais frequenta:,,,,1052,Proteção e segurança predial e do patrimônio público,,Excelente,Bom,Regular,Ruim,Péssimo,Não sei responder,A,6,Objetiva
Questoes,A3:U3,3,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,2,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),283,SEGURANÇA,Aponte sua percepção sobre as ações de segurança institucional nos ambientes da UFPR que você mais frequenta:,,,,1053,Proteção e segurança das pessoas nos campi,,Excelente,Bom,Regular,Ruim,Péssimo,Não sei responder,A,6,Objetiva
Questoes,A4:U4,4,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,3,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),283,SEGURANÇA,Aponte sua percepção sobre as ações de segurança institucional nos ambientes da UFPR que você mais frequenta:,,,,1054,"Adequação às normas de segurança dos ambientes externos e internos (plano de fuga em caso de incêndio, brigada de incêndio, placas de sinalização, sinais de trânsito, etc.)",,Excelente,Bom,Regular,Ruim,Péssimo,Não sei responder,A,6,Objetiva
Questoes,A5:U5,5,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,4,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),284,AMBIENTES,"Avalie os ambientes internos e externos (campi, setores, cursos) que você mais utiliza na UFPR quanto ao(à):",,,,1055,"Conservação e manutenção das áreas internas comuns (corredores, auditórios, espaços de convivência e alimentação, etc.)",,Excelente,Bom,Regular,Ruim,Péssimo,Não sei responder,A,6,Objetiva
Questoes,A6:U6,6,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,5,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),284,AMBIENTES,"Avalie os ambientes internos e externos (campi, setores, cursos) que você mais utiliza na UFPR quanto ao(à):",,,,1056,"Conservação e manutenção das áreas externas (calçadas, vias de acesso, outros)",,Excelente,Bom,Regular,Ruim,Péssimo,Não sei responder,A,6,Objetiva
Questoes,A7:U7,7,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,6,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),284,AMBIENTES,"Avalie os ambientes internos e externos (campi, setores, cursos) que você mais utiliza na UFPR quanto ao(à):",,,,1057,Instalações sanitárias ,,Excelente,Bom,Regular,Ruim,Péssimo,Não sei responder,A,6,Objetiva
Questoes,A8:U8,8,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,7,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),284,AMBIENTES,"Avalie os ambientes internos e externos (campi, setores, cursos) que você mais utiliza na UFPR quanto ao(à):",,,,1058,"Acessibilidade (elevadores, rampas de acesso, adequação às demandas de pessoas com deficiência)",,Excelente,Bom,Regular,Ruim,Péssimo,Não sei responder,A,6,Objetiva
Questoes,A9:U9,9,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,8,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),285,SERVIÇOS TERCEIRIZADOS, Avalie os seguintes itens sobre os serviços terceirizados dos ambientes da UFPR que você mais frequenta:,,,,1059,Qualidade dos serviços de limpeza e higiene dos ambientes,,Excelente,Bom,Regular,Ruim,Péssimo,Não sei responder,A,6,Objetiva
Questoes,A10:U10,10,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,9,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),285,SERVIÇOS TERCEIRIZADOS, Avalie os seguintes itens sobre os serviços terceirizados dos ambientes da UFPR que você mais frequenta:,,,,1060,Qualidade dos serviços de manutenção dos ambientes internos e externos,,Excelente,Bom,Regular,Ruim,Péssimo,Não sei responder,A,6,Objetiva
Questoes,A11:U11,11,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,10,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),285,SERVIÇOS TERCEIRIZADOS, Avalie os seguintes itens sobre os serviços terceirizados dos ambientes da UFPR que você mais frequenta:,,,,1061,Qualidade do atendimento nos restaurantes universitários ,,Excelente,Bom,Regular,Ruim,Péssimo,Não sei responder,A,6,Objetiva
