source_worksheet,source_cells,source_workbook,workbook_sha256,period,period_source,questionnaire_id,question_id,questionnaire,question,response_type,category,value,unit,universe,denominator,percentage,notes,structural_status
dados,F13304;F13348,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),Questoes!C2:C48,283,1052,SEGURANÇA,Proteção e segurança predial e do patrimônio público:,A,Bom,2,responses,responses to this question from the three explicitly labelled course respondents,3,0.6666666666666666,Count and proportion derived only from cited literal response cells; categories are not combined.,mechanical frequency from source rows
dados,F13392,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),Questoes!C2:C48,283,1052,SEGURANÇA,Proteção e segurança predial e do patrimônio público:,A,Ruim,1,responses,responses to this question from the three explicitly labelled course respondents,3,0.3333333333333333,Count and proportion derived only from cited literal response cells; categories are not combined.,mechanical frequency from source rows
dados,F13305;F13349,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),Questoes!C2:C48,283,1053,SEGURANÇA,Proteção e segurança das pessoas nos campi:,A,Bom,2,responses,responses to this question from the three explicitly labelled course respondents,3,0.6666666666666666,Count and proportion derived only from cited literal response cells; categories are not combined.,mechanical frequency from source rows
dados,F13393,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),Questoes!C2:C48,283,1053,SEGURANÇA,Proteção e segurança das pessoas nos campi:,A,Regular,1,responses,responses to this question from the three explicitly labelled course respondents,3,0.3333333333333333,Count and proportion derived only from cited literal response cells; categories are not combined.,mechanical frequency from source rows
dados,F13306,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),Questoes!C2:C48,283,1054,SEGURANÇA,"Adequação às normas de segurança dos ambientes externos e internos (plano de fuga em caso de incêndio, brigada de incêndio, placas de sinalização, sinais de trânsito, etc.):",A,Bom,1,responses,responses to this question from the three explicitly labelled course respondents,3,0.3333333333333333,Count and proportion derived only from cited literal response cells; categories are not combined.,mechanical frequency from source rows
dados,F13350,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),Questoes!C2:C48,283,1054,SEGURANÇA,"Adequação às normas de segurança dos ambientes externos e internos (plano de fuga em caso de incêndio, brigada de incêndio, placas de sinalização, sinais de trânsito, etc.):",A,Não sei responder,1,responses,responses to this question from the three explicitly labelled course respondents,3,0.3333333333333333,Count and proportion derived only from cited literal response cells; categories are not combined.,mechanical frequency from source rows
dados,F13394,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),Questoes!C2:C48,283,1054,SEGURANÇA,"Adequação às normas de segurança dos ambientes externos e internos (plano de fuga em caso de incêndio, brigada de incêndio, placas de sinalização, sinais de trânsito, etc.):",A,Péssimo,1,responses,responses to this question from the three explicitly labelled course respondents,3,0.3333333333333333,Count and proportion derived only from cited literal response cells; categories are not combined.,mechanical frequency from source rows
dados,F13351,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),Questoes!C2:C48,284,1055,AMBIENTES,"Conservação e manutenção das áreas internas comuns (corredores, auditórios, espaços de convivência e alimentação, etc.):",A,Excelente,1,responses,responses to this question from the three explicitly labelled course respondents,3,0.3333333333333333,Count and proportion derived only from cited literal response cells; categories are not combined.,mechanical frequency from source rows
dados,F13307;F13395,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),Questoes!C2:C48,284,1055,AMBIENTES,"Conservação e manutenção das áreas internas comuns (corredores, auditórios, espaços de convivência e alimentação, etc.):",A,Ruim,2,responses,responses to this question from the three explicitly labelled course respondents,3,0.6666666666666666,Count and proportion derived only from cited literal response cells; categories are not combined.,mechanical frequency from source rows
dados,F13308,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),Questoes!C2:C48,284,1056,AMBIENTES,"Conservação e manutenção das áreas externas (calçadas, vias de acesso, outros):",A,Bom,1,responses,responses to this question from the three explicitly labelled course respondents,3,0.3333333333333333,Count and proportion derived only from cited literal response cells; categories are not combined.,mechanical frequency from source rows
dados,F13352,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),Questoes!C2:C48,284,1056,AMBIENTES,"Conservação e manutenção das áreas externas (calçadas, vias de acesso, outros):",A,Excelente,1,responses,responses to this question from the three explicitly labelled course respondents,3,0.3333333333333333,Count and proportion derived only from cited literal response cells; categories are not combined.,mechanical frequency from source rows
dados,F13396,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),Questoes!C2:C48,284,1056,AMBIENTES,"Conservação e manutenção das áreas externas (calçadas, vias de acesso, outros):",A,Regular,1,responses,responses to this question from the three explicitly labelled course respondents,3,0.3333333333333333,Count and proportion derived only from cited literal response cells; categories are not combined.,mechanical frequency from source rows
dados,F13309,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),Questoes!C2:C48,284,1057,AMBIENTES,Instalações sanitárias:,A,Bom,1,responses,responses to this question from the three explicitly labelled course respondents,3,0.3333333333333333,Count and proportion derived only from cited literal response cells; categories are not combined.,mechanical frequency from source rows
dados,F13397,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),Questoes!C2:C48,284,1057,AMBIENTES,Instalações sanitárias:,A,Péssimo,1,responses,responses to this question from the three explicitly labelled course respondents,3,0.3333333333333333,Count and proportion derived only from cited literal response cells; categories are not combined.,mechanical frequency from source rows
dados,F13353,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),Questoes!C2:C48,284,1057,AMBIENTES,Instalações sanitárias:,A,Regular,1,responses,responses to this question from the three explicitly labelled course respondents,3,0.3333333333333333,Count and proportion derived only from cited literal response cells; categories are not combined.,mechanical frequency from source rows
dados,F13310,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),Questoes!C2:C48,284,1058,AMBIENTES,"Acessibilidade (elevadores, rampas de acesso, adequação às demandas de pessoas com deficiência):",A,Bom,1,responses,responses to this question from the three explicitly labelled course respondents,3,0.3333333333333333,Count and proportion derived only from cited literal response cells; categories are not combined.,mechanical frequency from source rows
dados,F13354,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),Questoes!C2:C48,284,1058,AMBIENTES,"Acessibilidade (elevadores, rampas de acesso, adequação às demandas de pessoas com deficiência):",A,Excelente,1,responses,responses to this question from the three explicitly labelled course respondents,3,0.3333333333333333,Count and proportion derived only from cited literal response cells; categories are not combined.,mechanical frequency from source rows
dados,F13398,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),Questoes!C2:C48,284,1058,AMBIENTES,"Acessibilidade (elevadores, rampas de acesso, adequação às demandas de pessoas com deficiência):",A,Ruim,1,responses,responses to this question from the three explicitly labelled course respondents,3,0.3333333333333333,Count and proportion derived only from cited literal response cells; categories are not combined.,mechanical frequency from source rows
dados,F13311,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),Questoes!C2:C48,285,1059,SERVIÇOS TERCEIRIZADOS,Qualidade dos serviços de limpeza e higiene dos ambientes:,A,Bom,1,responses,responses to this question from the three explicitly labelled course respondents,3,0.3333333333333333,Count and proportion derived only from cited literal response cells; categories are not combined.,mechanical frequency from source rows
dados,F13355,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),Questoes!C2:C48,285,1059,SERVIÇOS TERCEIRIZADOS,Qualidade dos serviços de limpeza e higiene dos ambientes:,A,Excelente,1,responses,responses to this question from the three explicitly labelled course respondents,3,0.3333333333333333,Count and proportion derived only from cited literal response cells; categories are not combined.,mechanical frequency from source rows
