arquivo,sha256,tamanho_bytes,instituicao,data_consulta,tipo,caminho_local,url_oficial,status
dicionario-acompanhamento-trajetoria.docx,05c684c9f939577e012aaf02933b09a3e99059625c030ca8e594a11d1c78831d,25877,INEP,2026-09-04,documento,administracao/dados/inep/fontes/dicionario-acompanhamento-trajetoria.docx,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/indicadores-educacionais/indicadores-de-trajetoria-da-educacao-superior,versionado
md5_indicadores_trajetoria_educacao_superior_2010_2019.txt,638f6c5c0a827cb2909d4b92125f1c2fbafbe448e9180f76d0c66de45f938407,181,INEP,2026-09-04,md5_oficial,administracao/dados/inep/fontes/md5/md5_indicadores_trajetoria_educacao_superior_2010_2019.txt,,versionado
md5_indicadores_trajetoria_educacao_superior_2011_2020.txt,ce3502cb2915b3d96a5861625474df4e973c2527d38c592d07c984c6c9537866,181,INEP,2026-09-04,md5_oficial,administracao/dados/inep/fontes/md5/md5_indicadores_trajetoria_educacao_superior_2011_2020.txt,,versionado
md5_indicadores_trajetoria_educacao_superior_2012_2021.txt,db45ffc0484c7a52e8ece2b988f6970ed2e7853d2f1a604aba9f67f950c69463,181,INEP,2026-09-04,md5_oficial,administracao/dados/inep/fontes/md5/md5_indicadores_trajetoria_educacao_superior_2012_2021.txt,,versionado
md5_indicadores_trajetoria_educacao_superior_2013_2022.txt,1890bd842c94ac5affe8c1806a8145df66cbf7b50b2dc788eb2254f5f93ab641,181,INEP,2026-09-04,md5_oficial,administracao/dados/inep/fontes/md5/md5_indicadores_trajetoria_educacao_superior_2013_2022.txt,,versionado
md5_indicadores_trajetoria_educacao_superior_2014_2023.txt,78a6704bb170ec1df9162ef163f3e2904546789f5f3d81ea913a1212d3fe13e4,181,INEP,2026-09-04,md5_oficial,administracao/dados/inep/fontes/md5/md5_indicadores_trajetoria_educacao_superior_2014_2023.txt,,versionado
md5_indicadores_trajetoria_educacao_superior_2015_2024.txt,f8b74c2aa59fa765bb9c8560ea556048ed1403eb03cc94b6aea3abef4b60c5f0,181,INEP,2026-09-04,md5_oficial,administracao/dados/inep/fontes/md5/md5_indicadores_trajetoria_educacao_superior_2015_2024.txt,,versionado
md5_indicadores_trajetoria_educacao_superior_2016_2024.txt,8037aaa02028c71b61b0624c75c31ace92796c9d1956882e2982778580ce24ac,181,INEP,2026-09-04,md5_oficial,administracao/dados/inep/fontes/md5/md5_indicadores_trajetoria_educacao_superior_2016_2024.txt,,versionado
md5_indicadores_trajetoria_educacao_superior_2017_2024.txt,f3e22ab9f6221cf77bfbf8382ecae8e58dcfe862be3d8e4845e163be680e7f55,181,INEP,2026-09-04,md5_oficial,administracao/dados/inep/fontes/md5/md5_indicadores_trajetoria_educacao_superior_2017_2024.txt,,versionado
md5_indicadores_trajetoria_educacao_superior_2018_2024.txt,26850ab1e06a21fa262e209a477d2ed96f9d74673b96fef9fa0210d7ab2a64a6,181,INEP,2026-09-04,md5_oficial,administracao/dados/inep/fontes/md5/md5_indicadores_trajetoria_educacao_superior_2018_2024.txt,,versionado
md5_indicadores_trajetoria_educacao_superior_2019_2024.txt,2b545914474fb2bb5f9cdb43fd1b7fc4695a61ce330385015130f802ebc33aac,181,INEP,2026-09-04,md5_oficial,administracao/dados/inep/fontes/md5/md5_indicadores_trajetoria_educacao_superior_2019_2024.txt,,versionado
md5_indicadores_trajetoria_educacao_superior_2020_2024.txt,77ee15dd7e3c673e77686659b52fafc8250770ce11bac354cd7ce7b080c07048,181,INEP,2026-09-04,md5_oficial,administracao/dados/inep/fontes/md5/md5_indicadores_trajetoria_educacao_superior_2020_2024.txt,,versionado
inep-trajetoria.html,5c3cd8de65aa2ce107cd5651b701e2bb9c37b7f61c6ab7a3e0466b0e243c4e67,218202,INEP,2026-09-04,pagina_html,administracao/dados/inep/fontes/paginas/inep-trajetoria.html,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/indicadores-educacionais/indicadores-de-trajetoria-da-educacao-superior,versionado
ata-cepe-13-12-2019.pdf,72f5bca84b454e894743b334f673986ab59675127f4ef9d575ae0970692b6198,237970,UFPR,2026-09-04,documento,administracao/dados/ufpr/fontes/ata-cepe-13-12-2019.pdf,https://soc.ufpr.br/wp-content/uploads/2020/03/Ata-CEPE-13.12.2019.pdf,versionado
edital-28-2025-nc-prograp-ps-2026.pdf,8d0e37321953947b68c0989bba524c92daf710c13b522d619ce5a5a3d2efd092,1656741,UFPR,2026-09-04,documento,administracao/dados/ufpr/fontes/edital-28-2025-nc-prograp-ps-2026.pdf,https://servicos.nc.ufpr.br/PortalNC/obterDocumento?pub=8601,versionado
noticia-lancamento-observatorio.html,cb4b75c84f97528e6c29e1294a9260665485e6e7e55fe6e6af8c0e904f943f3b,107980,UFPR,2026-09-04,pagina_html,administracao/dados/ufpr/fontes/paginas/noticia-lancamento-observatorio.html,https://ufpr.br/ufpr-lanca-observatorio-de-dados-de-evasao-e-baixa-procura/,versionado
observatorio-inicio.html,7775819c2cd764487c3b59f8dea8bff43652a6b849b0355d46193c9ec9d4fd73,92597,UFPR,2026-09-04,pagina_html,administracao/dados/ufpr/fontes/paginas/observatorio-inicio.html,https://ufpr.br/observaevasao/,versionado
observatorio-painel.html,f0a5cc85c59f343c2e3a4f0fb04d1939b750634cff4362b49735472837220bef,71168,UFPR,2026-09-04,pagina_html,administracao/dados/ufpr/fontes/paginas/observatorio-painel.html,https://ufpr.br/observaevasao/painel/,versionado
planejamento-estrategico-exatas-2016-2020.pdf,b7055ed06f8ff1ac6035eb2965b53655187c40f518faf46f85331df15cda1b59,376925,UFPR,2026-09-04,documento,administracao/dados/ufpr/fontes/planejamento-estrategico-exatas-2016-2020.pdf,https://exatas.ufpr.br/wp-content/uploads/2019/04/PLANEJAMENTO-ESTRAT%C3%89GICO-ET-2016-2020.pdf,versionado
relatorio-evasao-analise-modelagem-ufpr-2026.pdf,a51a500b946ac8717237cd4ec43a7eeb30f203284201c8092ede5e49a94f9194,1391890,UFPR,2026-09-04,documento,administracao/dados/ufpr/fontes/relatorio-evasao-analise-modelagem-ufpr-2026.pdf,https://ufpr.br/observaevasao/wp-content/uploads/sites/27/2026/05/relatorio-de-evasao-analise-e-modelagem.pdf,versionado
resolucao-04-2019-cepe-vagas-2019-2020.pdf,9b59680205c030c925d1e0cbc56ad4e89ad2d430228c230e14bc4261d2a75019,265105,UFPR,2026-09-04,documento,administracao/dados/ufpr/fontes/resolucao-04-2019-cepe-vagas-2019-2020.pdf,https://soc.ufpr.br/wp-content/uploads/2019/08/Res.-04-19-CEPE-Quadro-de-vagas-processo-seletivo-2019-2020-Alterada-pela-Resolu%C3%A7%C3%A3o-55.19-CEPE.pdf,versionado
