id,title,institution,source_url,accessed_at,document_date,document_type,local_path,sha256,version_or_validity,purpose,status,notes
inep-package-2010-2019,Indicadores Educacionais - Indicadores de Fluxo da Educação Superior 2010-2019,INEP,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/Indicadores_Educacionais_Indicadores_Fluxo_Educacao_Superior_2010_2019.zip,2026-09-04,,official_data_package,administracao/dados/inep/fontes/pacotes/Indicadores_Educacionais_Indicadores_Fluxo_Educacao_Superior_2010_2019.zip,3b860b06d8aeeca28ce7e3d6ae7f367ad537a8737534b16dc62c7498a093ea46,2010-2019 cohorts,W006 national input and clean-checkout reproduction,preserved_lfs,Exact W006 SHA-256; TLS validation was unavailable during W008 recapture
inep-package-2011-2020,Indicadores de Fluxo da Educação Superior 2011-2020,INEP,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/Indicadores_Fluxo_ES_2011_2020.zip,2026-09-04,,official_data_package,administracao/dados/inep/fontes/pacotes/Indicadores_Fluxo_ES_2011_2020.zip,fd1d513c37948b0e7a9c52cd1ed3c729e289b0b28e1f52467b924d2d88006ea0,2011-2020 cohorts,W006 national input and clean-checkout reproduction,preserved_lfs,Exact W006 SHA-256; TLS validation was unavailable during W008 recapture
inep-package-2012-2021,Indicadores de Fluxo da Educação Superior 2012-2021,INEP,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/Indicadores_Fluxo_ES_2012_2021.zip,2026-09-04,,official_data_package,administracao/dados/inep/fontes/pacotes/Indicadores_Fluxo_ES_2012_2021.zip,ad9988da27173ff020818caad12ee3d7ef666ee324c1b9dfabd38e6d4ff6de81,2012-2021 cohorts,W006 national input and clean-checkout reproduction,preserved_lfs,Exact W006 SHA-256; TLS validation was unavailable during W008 recapture
inep-package-2013-2022,Indicadores de Fluxo da Educação Superior 2013-2022,INEP,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/indicadores_fluxo_es_2013-2022.zip,2026-09-04,,official_data_package,administracao/dados/inep/fontes/pacotes/indicadores_fluxo_es_2013-2022.zip,eea6ba4506c85c2c8ea474b07397e743158f8f9963162f9137dadf8aac716320,2013-2022 cohorts,W006 national input and clean-checkout reproduction,preserved_lfs,Exact W006 SHA-256; TLS validation was unavailable during W008 recapture
inep-package-2014-2023,Indicadores de Fluxo da Educação Superior 2014-2023,INEP,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/indicadores_fluxo_es_2014-2023.zip,2026-09-04,,official_data_package,administracao/dados/inep/fontes/pacotes/indicadores_fluxo_es_2014-2023.zip,196b0f9338ab67145c02a5f44992cdf6d89292ccf4a7d466763f995e57518a35,2014-2023 cohorts,W006 national input and clean-checkout reproduction,preserved_lfs,Exact W006 SHA-256; TLS validation was unavailable during W008 recapture
inep-package-2015-2024,Indicadores de Trajetória da Educação Superior 2015-2024,INEP,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/indicadores_trajetoria_es_2015_2024.zip,2026-09-04,,official_data_package,administracao/dados/inep/fontes/pacotes/indicadores_trajetoria_es_2015_2024.zip,14e6ff92cc9e904c89499b457bc243ee86675638bcbbe57e9f6f7a220ce2f798,2015-2024 cohorts,W006 national input and clean-checkout reproduction,preserved_lfs,Exact W006 SHA-256; TLS validation was unavailable during W008 recapture
inep-package-2016-2024,Indicadores de Trajetória da Educação Superior 2016-2024,INEP,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/indicadores_trajetoria_es_2016_2024.zip,2026-09-04,,official_data_package,administracao/dados/inep/fontes/pacotes/indicadores_trajetoria_es_2016_2024.zip,fcc9f785b1ebecd17f2a75af57e0ef5c45863915ebc4e8796ac89ac3f214397f,2016-2024 cohorts,W006 national input and clean-checkout reproduction,preserved_lfs,Exact W006 SHA-256; TLS validation was unavailable during W008 recapture
inep-package-2017-2024,Indicadores de Trajetória da Educação Superior 2017-2024,INEP,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/indicadores_trajetoria_es_2017_2024.zip,2026-09-04,,official_data_package,administracao/dados/inep/fontes/pacotes/indicadores_trajetoria_es_2017_2024.zip,90130f61e9ffb7903456c841d5daf69aec5f7a854726cd26e42022647f9b0540,2017-2024 cohorts,W006 national input and clean-checkout reproduction,preserved_lfs,Exact W006 SHA-256; TLS validation was unavailable during W008 recapture
inep-package-2018-2024,Indicadores de Trajetória da Educação Superior 2018-2024,INEP,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/indicadores_trajetoria_es_2018_2024.zip,2026-09-04,,official_data_package,administracao/dados/inep/fontes/pacotes/indicadores_trajetoria_es_2018_2024.zip,44075a164340fda53fb080f9f00eeba8f5bd9bcb8397c0fe4ac801df72758f0b,2018-2024 cohorts,W006 national input and clean-checkout reproduction,preserved_lfs,Exact W006 SHA-256; TLS validation was unavailable during W008 recapture
inep-package-2019-2024,Indicadores de Trajetória da Educação Superior 2019-2024,INEP,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/indicadores_trajetoria_es_2019_2024.zip,2026-09-04,,official_data_package,administracao/dados/inep/fontes/pacotes/indicadores_trajetoria_es_2019_2024.zip,a443cd5c28e38f317130c41381d8c82fad0c33912e292f1900e39bc9abce9eb0,2019-2024 cohorts,W006 national input and clean-checkout reproduction,preserved_lfs,Exact W006 SHA-256; TLS validation was unavailable during W008 recapture
