CO_IES,NO_IES,TP_CATEGORIA_ADMINISTRATIVA,TP_ORGANIZACAO_ACADEMICA,CO_CURSO,NO_CURSO,CO_REGIAO,CO_UF,CO_MUNICIPIO,TP_GRAU_ACADEMICO,TP_MODALIDADE_ENSINO,CO_CINE_ROTULO,NO_CINE_ROTULO,CO_CINE_AREA_GERAL,NO_CINE_AREA_GERAL,NU_ANO_INGRESSO,NU_ANO_REFERENCIA,NU_PRAZO_INTEGRALIZACAO,NU_ANO_INTEGRALIZACAO,NU_PRAZO_ACOMPANHAMENTO,NU_ANO_MAXIMO_ACOMPANHAMENTO,QT_INGRESSANTE,QT_PERMANENCIA,QT_CONCLUINTE,QT_DESISTENCIA,QT_FALECIDO,TAP,TCA,TDA,TCAN,TADA,ARQUIVO_FONTE
571,UNIVERSIDADE FEDERAL DO PARANÁ,1,1,1126727,INFORMÁTICA BIOMÉDICA,4,41,4106902,1,1,0617C02,Computação e Tecnologias da Informação e Comunicação (TIC) em biociências e saúde,06,Computação e Tecnologias da Informação e Comunicação (TIC),2011,2011,5,2015,8,2018,31,27,0,4,0,87.09677419,0,12.90322581,0,12.90322581,indicadores_trajetoria_educacao_superior_2011_2020.xlsx
571,UNIVERSIDADE FEDERAL DO PARANÁ,1,1,1126727,INFORMÁTICA BIOMÉDICA,4,41,4106902,1,1,0617C02,Computação e Tecnologias da Informação e Comunicação (TIC) em biociências e saúde,06,Computação e Tecnologias da Informação e Comunicação (TIC),2011,2012,5,2015,8,2018,31,23,0,4,0,74.19354839,0,25.80645161,0,12.90322581,indicadores_trajetoria_educacao_superior_2011_2020.xlsx
571,UNIVERSIDADE FEDERAL DO PARANÁ,1,1,1126727,INFORMÁTICA BIOMÉDICA,4,41,4106902,1,1,0617C02,Computação e Tecnologias da Informação e Comunicação (TIC) em biociências e saúde,06,Computação e Tecnologias da Informação e Comunicação (TIC),2011,2013,5,2015,8,2018,31,20,0,3,0,64.51612903,0,35.48387097,0,9.677419355,indicadores_trajetoria_educacao_superior_2011_2020.xlsx
571,UNIVERSIDADE FEDERAL DO PARANÁ,1,1,1126727,INFORMÁTICA BIOMÉDICA,4,41,4106902,1,1,0617C02,Computação e Tecnologias da Informação e Comunicação (TIC) em biociências e saúde,06,Computação e Tecnologias da Informação e Comunicação (TIC),2011,2014,5,2015,8,2018,31,17,0,3,0,54.83870968,0,45.16129032,0,9.677419355,indicadores_trajetoria_educacao_superior_2011_2020.xlsx
571,UNIVERSIDADE FEDERAL DO PARANÁ,1,1,1126727,INFORMÁTICA BIOMÉDICA,4,41,4106902,1,1,0617C02,Computação e Tecnologias da Informação e Comunicação (TIC) em biociências e saúde,06,Computação e Tecnologias da Informação e Comunicação (TIC),2011,2015,5,2015,8,2018,31,14,1,2,0,45.16129032,3.225806452,51.61290323,3.225806452,6.451612903,indicadores_trajetoria_educacao_superior_2011_2020.xlsx
571,UNIVERSIDADE FEDERAL DO PARANÁ,1,1,1126727,INFORMÁTICA BIOMÉDICA,4,41,4106902,1,1,0617C02,Computação e Tecnologias da Informação e Comunicação (TIC) em biociências e saúde,06,Computação e Tecnologias da Informação e Comunicação (TIC),2011,2016,5,2015,8,2018,31,6,4,4,0,19.35483871,16.12903226,64.51612903,12.90322581,12.90322581,indicadores_trajetoria_educacao_superior_2011_2020.xlsx
571,UNIVERSIDADE FEDERAL DO PARANÁ,1,1,1126727,INFORMÁTICA BIOMÉDICA,4,41,4106902,1,1,0617C02,Computação e Tecnologias da Informação e Comunicação (TIC) em biociências e saúde,06,Computação e Tecnologias da Informação e Comunicação (TIC),2011,2017,5,2015,8,2018,31,3,2,1,0,9.677419355,22.58064516,67.74193548,6.451612903,3.225806452,indicadores_trajetoria_educacao_superior_2011_2020.xlsx
571,UNIVERSIDADE FEDERAL DO PARANÁ,1,1,1126727,INFORMÁTICA BIOMÉDICA,4,41,4106902,1,1,0617C02,Computação e Tecnologias da Informação e Comunicação (TIC) em biociências e saúde,06,Computação e Tecnologias da Informação e Comunicação (TIC),2011,2018,5,2015,8,2018,31,0,1,2,0,0,25.80645161,74.19354839,3.225806452,6.451612903,indicadores_trajetoria_educacao_superior_2011_2020.xlsx
571,UNIVERSIDADE FEDERAL DO PARANÁ,1,1,1126727,INFORMÁTICA BIOMÉDICA,4,41,4106902,1,1,0617C02,Computação e Tecnologias da Informação e Comunicação (TIC) em biociências e saúde,06,Computação e Tecnologias da Informação e Comunicação (TIC),2011,2019,5,2015,8,2018,31,0,0,0,0,0,25.80645161,74.19354839,0,0,indicadores_trajetoria_educacao_superior_2011_2020.xlsx
571,UNIVERSIDADE FEDERAL DO PARANÁ,1,1,1126727,INFORMÁTICA BIOMÉDICA,4,41,4106902,1,1,0617C02,Computação e Tecnologias da Informação e Comunicação (TIC) em biociências e saúde,06,Computação e Tecnologias da Informação e Comunicação (TIC),2011,2020,5,2015,8,2018,31,0,0,0,0,0,25.80645161,74.19354839,0,0,indicadores_trajetoria_educacao_superior_2011_2020.xlsx
571,UNIVERSIDADE FEDERAL DO PARANÁ,1,1,1126727,INFORMÁTICA BIOMÉDICA,4,41,4106902,1,1,0617C02,Computação e Tecnologias da Informação e Comunicação (TIC) em biociências e saúde,06,Computação e Tecnologias da Informação e Comunicação (TIC),2012,2012,5,2016,8,2019,33,23,0,10,0,69.6969697,0,30.3030303,0,30.3030303,indicadores_trajetoria_educacao_superior_2012_2021.xlsx
571,UNIVERSIDADE FEDERAL DO PARANÁ,1,1,1126727,INFORMÁTICA BIOMÉDICA,4,41,4106902,1,1,0617C02,Computação e Tecnologias da Informação e Comunicação (TIC) em biociências e saúde,06,Computação e Tecnologias da Informação e Comunicação (TIC),2012,2013,5,2016,8,2019,33,18,0,5,0,54.54545455,0,45.45454545,0,15.15151515,indicadores_trajetoria_educacao_superior_2012_2021.xlsx
571,UNIVERSIDADE FEDERAL DO PARANÁ,1,1,1126727,INFORMÁTICA BIOMÉDICA,4,41,4106902,1,1,0617C02,Computação e Tecnologias da Informação e Comunicação (TIC) em biociências e saúde,06,Computação e Tecnologias da Informação e Comunicação (TIC),2012,2014,5,2016,8,2019,33,10,0,8,0,30.3030303,0,69.6969697,0,24.24242424,indicadores_trajetoria_educacao_superior_2012_2021.xlsx
571,UNIVERSIDADE FEDERAL DO PARANÁ,1,1,1126727,INFORMÁTICA BIOMÉDICA,4,41,4106902,1,1,0617C02,Computação e Tecnologias da Informação e Comunicação (TIC) em biociências e saúde,06,Computação e Tecnologias da Informação e Comunicação (TIC),2012,2015,5,2016,8,2019,33,9,0,1,0,27.27272727,0,72.72727273,0,3.03030303,indicadores_trajetoria_educacao_superior_2012_2021.xlsx
571,UNIVERSIDADE FEDERAL DO PARANÁ,1,1,1126727,INFORMÁTICA BIOMÉDICA,4,41,4106902,1,1,0617C02,Computação e Tecnologias da Informação e Comunicação (TIC) em biociências e saúde,06,Computação e Tecnologias da Informação e Comunicação (TIC),2012,2016,5,2016,8,2019,33,7,1,1,0,21.21212121,3.03030303,75.75757576,3.03030303,3.03030303,indicadores_trajetoria_educacao_superior_2012_2021.xlsx
571,UNIVERSIDADE FEDERAL DO PARANÁ,1,1,1126727,INFORMÁTICA BIOMÉDICA,4,41,4106902,1,1,0617C02,Computação e Tecnologias da Informação e Comunicação (TIC) em biociências e saúde,06,Computação e Tecnologias da Informação e Comunicação (TIC),2012,2017,5,2016,8,2019,33,7,0,0,0,21.21212121,3.03030303,75.75757576,0,0,indicadores_trajetoria_educacao_superior_2012_2021.xlsx
571,UNIVERSIDADE FEDERAL DO PARANÁ,1,1,1126727,INFORMÁTICA BIOMÉDICA,4,41,4106902,1,1,0617C02,Computação e Tecnologias da Informação e Comunicação (TIC) em biociências e saúde,06,Computação e Tecnologias da Informação e Comunicação (TIC),2012,2018,5,2016,8,2019,33,4,0,3,0,12.12121212,3.03030303,84.84848485,0,9.090909091,indicadores_trajetoria_educacao_superior_2012_2021.xlsx
571,UNIVERSIDADE FEDERAL DO PARANÁ,1,1,1126727,INFORMÁTICA BIOMÉDICA,4,41,4106902,1,1,0617C02,Computação e Tecnologias da Informação e Comunicação (TIC) em biociências e saúde,06,Computação e Tecnologias da Informação e Comunicação (TIC),2012,2019,5,2016,8,2019,33,3,0,1,0,9.090909091,3.03030303,87.87878788,0,3.03030303,indicadores_trajetoria_educacao_superior_2012_2021.xlsx
571,UNIVERSIDADE FEDERAL DO PARANÁ,1,1,1126727,INFORMÁTICA BIOMÉDICA,4,41,4106902,1,1,0617C02,Computação e Tecnologias da Informação e Comunicação (TIC) em biociências e saúde,06,Computação e Tecnologias da Informação e Comunicação (TIC),2012,2020,5,2016,8,2019,33,1,0,2,0,3.03030303,3.03030303,93.93939394,0,6.060606061,indicadores_trajetoria_educacao_superior_2012_2021.xlsx
571,UNIVERSIDADE FEDERAL DO PARANÁ,1,1,1126727,INFORMÁTICA BIOMÉDICA,4,41,4106902,1,1,0617C02,Computação e Tecnologias da Informação e Comunicação (TIC) em biociências e saúde,06,Computação e Tecnologias da Informação e Comunicação (TIC),2012,2021,5,2016,8,2019,33,1,0,0,0,3.03030303,3.03030303,93.93939394,0,0,indicadores_trajetoria_educacao_superior_2012_2021.xlsx
