coorte_ingresso,ingressantes,prazo_integralizacao_anos,ano_esperado_integralizacao,observacao_ano_esperado_disponivel,ultima_observacao_ano,ano_esperado_permanencia,ano_esperado_concluintes_ano,ano_esperado_desistencias_ano,ano_esperado_tap,ano_esperado_tca_acumulada,ano_esperado_tda_acumulada,ano_esperado_tcan_anual,ano_esperado_tada_anual,ultima_observacao_permanencia,ultima_observacao_concluintes_ano,ultima_observacao_desistencias_ano,ultima_observacao_tap,ultima_observacao_tca_acumulada,ultima_observacao_tda_acumulada,ultima_observacao_tcan_anual,ultima_observacao_tada_anual
2011,31,5,2015,sim,2020,14,1,2,45.16129032,3.225806452,51.61290323,3.225806452,6.451612903,0,0,0,0,25.80645161,74.19354839,0,0
2012,33,5,2016,sim,2021,7,1,1,21.21212121,3.03030303,75.75757576,3.03030303,3.03030303,1,0,0,3.03030303,3.03030303,93.93939394,0,0
2013,31,5,2017,sim,2022,11,1,1,35.48387097,3.225806452,61.29032258,3.225806452,3.225806452,0,0,0,0,16.12903226,83.87096774,0,0
2014,38,5,2018,sim,2023,2,2,1,5.263157895,5.263157895,89.47368421,5.263157895,2.631578947,0,0,0,0,5.263157895,94.73684211,0,0
2015,37,5,2019,sim,2024,3,1,3,8.108108108,8.108108108,83.78378378,2.702702703,8.108108108,0,0,0,0,13.51351351,86.48648649,0,0
2016,30,5,2020,sim,2024,5,0,1,16.66666667,3.333333333,80,0,3.333333333,2,0,0,6.666666667,6.666666667,86.66666667,0,0
2017,30,5,2021,sim,2024,18,0,1,60,0,40,0,3.333333333,2,2,0,6.666666667,40,53.33333333,6.666666667,0
2018,30,5,2022,sim,2024,7,2,7,23.33333333,6.666666667,70,6.666666667,23.33333333,2,2,1,6.666666667,16.66666667,76.66666667,6.666666667,3.333333333
2019,37,5,2023,sim,2024,11,0,4,29.72972973,0,70.27027027,0,10.81081081,4,7,0,10.81081081,18.91891892,70.27027027,18.91891892,0
2020,39,5,2024,sim,2024,5,1,1,12.82051282,5.128205128,82.05128205,2.564102564,2.564102564,5,1,1,12.82051282,5.128205128,82.05128205,2.564102564,2.564102564
