ano_referencia,coortes_observadas,ingressantes_novas_coortes,permanencia_ativa_nas_coortes,concluintes_anuais_nas_coortes,desistencias_anuais_nas_coortes,falecidos_anuais_nas_coortes
2011,2011,31,27,0,4,0
2012,2011;2012,33,46,0,14,0
2013,2011;2012;2013,31,68,0,9,0
2014,2011;2012;2013;2014,38,83,0,23,0
2015,2011;2012;2013;2014;2015,37,89,1,30,0
2016,2011;2012;2013;2014;2015;2016,30,80,5,34,0
2017,2011;2012;2013;2014;2015;2016;2017,30,83,3,24,0
2018,2011;2012;2013;2014;2015;2016;2017;2018,30,80,7,26,0
2019,2011;2012;2013;2014;2015;2016;2017;2018;2019,37,85,4,28,0
2020,2011;2012;2013;2014;2015;2016;2017;2018;2019;2020,39,113,0,11,0
