ano,ingressantes,candidatos_por_vaga,filtro_painel,fonte,observacao
2015,36,3.86,"Informática Biomédica - Campus Centro Politécnico","Observatório de Dados de Evasão e Baixa Procura/UFPR (Power BI; transcrição de consulta filtrada)","Série transcrita da consulta; não há número absoluto de candidatos nesta base."
2016,28,3.10,"Informática Biomédica - Campus Centro Politécnico","Observatório de Dados de Evasão e Baixa Procura/UFPR (Power BI; transcrição de consulta filtrada)","Série transcrita da consulta; não há número absoluto de candidatos nesta base."
2017,33,2.33,"Informática Biomédica - Campus Centro Politécnico","Observatório de Dados de Evasão e Baixa Procura/UFPR (Power BI; transcrição de consulta filtrada)","Série transcrita da consulta; não há número absoluto de candidatos nesta base."
2018,31,2.92,"Informática Biomédica - Campus Centro Politécnico","Observatório de Dados de Evasão e Baixa Procura/UFPR (Power BI; transcrição de consulta filtrada)","Série transcrita da consulta; não há número absoluto de candidatos nesta base."
2019,36,2.71,"Informática Biomédica - Campus Centro Politécnico","Observatório de Dados de Evasão e Baixa Procura/UFPR (Power BI; transcrição de consulta filtrada)","Série transcrita da consulta; não há número absoluto de candidatos nesta base."
2020,42,1.94,"Informática Biomédica - Campus Centro Politécnico","Observatório de Dados de Evasão e Baixa Procura/UFPR (Power BI; transcrição de consulta filtrada)","Série transcrita da consulta; não há número absoluto de candidatos nesta base."
2021,27,2.88,"Informática Biomédica - Campus Centro Politécnico","Observatório de Dados de Evasão e Baixa Procura/UFPR (Power BI; transcrição de consulta filtrada)","Série transcrita da consulta; não há número absoluto de candidatos nesta base."
2022,28,2.20,"Informática Biomédica - Campus Centro Politécnico","Observatório de Dados de Evasão e Baixa Procura/UFPR (Power BI; transcrição de consulta filtrada)","Série transcrita da consulta; não há número absoluto de candidatos nesta base."
2023,34,2.64,"Informática Biomédica - Campus Centro Politécnico","Observatório de Dados de Evasão e Baixa Procura/UFPR (Power BI; transcrição de consulta filtrada)","Série transcrita da consulta; não há número absoluto de candidatos nesta base."
2024,41,2.23,"Informática Biomédica - Campus Centro Politécnico","Observatório de Dados de Evasão e Baixa Procura/UFPR (Power BI; transcrição de consulta filtrada)","Série transcrita da consulta; não há número absoluto de candidatos nesta base."
2025,36,2.20,"Informática Biomédica - Campus Centro Politécnico","Observatório de Dados de Evasão e Baixa Procura/UFPR (Power BI; transcrição de consulta filtrada)","Série transcrita da consulta; não há número absoluto de candidatos nesta base."
2026,35,1.36,"Informática Biomédica - Campus Centro Politécnico","Observatório de Dados de Evasão e Baixa Procura/UFPR (Power BI; transcrição de consulta filtrada)","O seletor da consulta indicava fim=2025, mas o gráfico exibiu 2026; linha registrada como divergência de interface e não como série independente validada."
