id,title,institution,source_url,accessed_at,document_date,document_type,local_path,sha256,version_or_validity,purpose,status,notes
H001,Portal do Ementário — Informática Biomédica - Bacharelado (96A),Universidade Federal do Paraná,https://ementario.ufpr.br/ementario/curso.action?v=1225,2026-09-04,current registry capture,HTML page,administracao/historico/fontes/paginas/ementario-curso-96a-2026-09-04.html,c5f682e52dc47b976ac5447e1ba43e42994aca0673a32c949ec19e13c1587992,current page captured 2026-09-04,"Authorization, recognition, current status, and displayed MEC concept",preserved,"Dynamic official registry; it identifies underlying acts but is not a preserved copy of their original text."
H002,Resolução nº 75/22-CEPE,Universidade Federal do Paraná,https://soc.ufpr.br/wp-content/uploads/2023/01/RESOLUCAO-75-22-CEPE.pdf,2026-09-04,2022-12-13,resolution,curriculos/2023/fontes/resolucao-75-22-cepe.pdf,b003d94ffe7a5d91b4f352c6531186cbf2e1ce3a3ee2acc5e1267ad572826d1d,applies to entrants from PS 2022/2023,"Primary act for 2022 curricular-reform approval",preserved,"Existing repository-preserved original; hash reconfirmed by W011."
H003,Apêndice B — proposta de Informática Biomédica,Universidade Federal do Paraná,user-provided file,2026-09-04,not_stated,proposal_form,administracao/mec/2026/apendice-b-proposta-informatica-biomedica.pdf,994b17a9b1915a8d0dfc3104d01e7cc4d49b7f85e4002102687ee2e543109052,proposal only,"Evidence of the 2026 proposal stage and proposal claims",preserved,"Original user-provided file, as recorded in fontes/catalogo.csv; no signature/approval is inferred."
H004,Calendário acadêmico 2022 — resultados Avaliação de Cursos,Comissão Própria de Avaliação — UFPR,https://cpa.ufpr.br/calendario-academico-2022-resultados-avaliacao-de-cursos/,2026-09-04,2022,HTML index page,administracao/historico/fontes/paginas/cpa-avaliacao-cursos-2022-2026-09-04.html,657673cf98011c7fed93f4b086127b61690f5fb521cd4c5d75a1f053a8038ab8,academic calendar 2022,"Provenance page linking the course-specific CPA workbook",preserved,"The page links the original workbook at H004A."
H004A,INFORMÁTICA BIOMÉDICA,Comissão Própria de Avaliação — UFPR,https://cpa.ufpr.br/wp-content/uploads/2023/04/informatica-biomedica.xlsx,2026-09-04,2022,CPA_evaluation_workbook,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,academic calendar 2022,"Course-labelled original CPA response workbook",preserved,"Preserved unchanged. It does not state the response denominator, field period, or aggregation method."
H005,Indicadores de trajetória da educação superior — recorte UFPR Informática Biomédica,INEP,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/indicadores-educacionais/indicadores-de-trajetoria-da-educacao-superior,2026-09-04,cohorts 2011-2020,derived_dataset,administracao/dados/inep/trajetoria_informatica_biomedica_ufpr.csv,b8ce653a1b226a284419fa1f0b75c194773e4fd3f0776bf52b62dae290c3c41b,cohort follow-up,"Existing W006 trajectory evidence front",preserved,"Derived output; its source packages and input sheets are separately preserved and manifest-validated under administracao/dados/inep/fontes/."
H006,Relatório de Evasão: Análise e Modelagem,Universidade Federal do Paraná / PROPLAD-CECD,https://ufpr.br/observaevasao/wp-content/uploads/sites/27/2026/05/relatorio-de-evasao-analise-e-modelagem.pdf,2026-09-04,2026,report,administracao/dados/ufpr/fontes/relatorio-evasao-analise-modelagem-ufpr-2026.pdf,a51a500b946ac8717237cd4ec43a7eeb30f203284201c8092ede5e49a94f9194,cohorts 2009-2018,"Historical cohort dropout measure",preserved,"Existing repository-preserved original; W011 records its stated cohort universe without combining it with annual series."
H007,PS/UFPR 2016 — candidato/vaga por curso,Núcleo de Concursos — UFPR,https://www.nc.ufpr.br/concursos_institucionais/ufpr/ps2016/candvaga_curso.htm,2026-09-04,2016,HTML page,administracao/dados/ufpr/fontes/nc/ps2016_candidato_vaga.html,f623000866243b78136009d1054a80a4d6865caa0a5a1f06f83f90977e1347c2,PS/UFPR 2016,"One absolute applicant-count observation",preserved,"Existing repository-preserved original; treineiro is separate and no occupancy inference is made."
H008,Edital nº 28/2025-NC/PROGRAP — Processo Seletivo UFPR 2026,Núcleo de Concursos / PROGRAP — UFPR,https://servicos.nc.ufpr.br/PortalNC/obterDocumento?pub=8601,2026-09-04,2025,admission_notice,administracao/dados/ufpr/fontes/edital-28-2025-nc-prograp-ps-2026.pdf,8d0e37321953947b68c0989bba524c92daf710c13b522d619ce5a5a3d2efd092,PS/UFPR 2026,"PS/UFPR-specific vacancies and current course denomination",preserved,"Existing repository-preserved original; it does not cover SiSU or total annual vacancy universe."
H009,Ata da Sessão Ordinária da 1ª Câmara do Conselho de Ensino Pesquisa e Extensão da Universidade Federal do Paraná realizada em 02 de dezembro de 2022,Universidade Federal do Paraná — Secretaria dos Órgãos Colegiados,https://soc.ufpr.br/wp-content/uploads/2023/02/Ata-1%C2%AA-CEPE-02.12.2022.pdf,2026-09-04,2022-12-02,CEPE_chamber_minute,administracao/historico/fontes/documentos/ata-1a-camara-cepe-2022-12-02.pdf,461fd8121be84c13d53c6d77a0dcc0d11500ee84a295b08a3e8c86df914b8faf,process 061269/2022-16,"Primary minute recording favorable opinion and unanimous first-Chamber approval of the 2022 curriculum reform",preserved,"Original official PDF preserved unchanged. Electronically signed 2023-02-03; reference process for the minute is 23075.003763/2023-39 and SEI 5253788."
