search_id,target_id,accessed_at,official_domains,terms_or_endpoint,result,limits
W029-EA01,EMEC_DETAIL,2026-09-06,emec.mec.gov.br,"site:emec.mec.gov.br \"Informática Biomédica\" \"Universidade Federal do Paraná\"",No detailed public e-MEC course record was returned by the precise official-domain search.,Search-result inspection only; no current compliance claim; no nonexistence inference.
W029-EA02,EMEC_DETAIL,2026-09-06,emec.mec.gov.br,https://emec.mec.gov.br/emec/nova,Official public entry point returned HTTP 403 Cloudflare challenge before a course record could be accessed.,No bypass login automation or protected-access attempt; response was not preserved or used as evidence.
W029-EA03,EMEC_DETAIL,2026-09-06,emec.mec.gov.br,"site:emec.mec.gov.br/emec \"201307170\"",No detailed e-MEC record for the target course was returned.,The DOU course-process number was used only as a precise discovery lead; DOU material is not substituted for an e-MEC record.
W029-EA04,ENADE_RESULT,2026-09-06,gov.br/inep,"site:gov.br/inep \"Informática Biomédica\" \"Universidade Federal do Paraná\" Enade",No dated course-specific Enade result was returned by the official-domain search.,Search-result inspection only; no generic area or institution result was attributed to the course.
W029-EA05,ENADE_RESULT,2026-09-06,gov.br/inep,https://www.gov.br/inep/pt-br/areas-de-atuacao/avaliacao-e-exames-educacionais/enade/indicadores-de-qualidade-da-educacao-superior,Official INEP indicator entry point returned HTTP 403 before a dated course result could be inspected.,No bypass or alternate unaudited data source used; response was not preserved as evidence.
W029-EA06,ENADE_RESULT,2026-09-06,gov.br/inep,"site:gov.br/inep \"Informática Biomédica\" UFPR CPC",No dated course-specific Enade or CPC result was returned.,CPC search wording was used only to locate a dated official course result; no undated registry concept was relabelled.
W029-EA07,APPLICANTS_2018,2026-09-06,nc.ufpr.br;servicos.nc.ufpr.br,"site:nc.ufpr.br OR site:servicos.nc.ufpr.br \"Processo Seletivo 2017/2018\" \"Informática Biomédica\" inscritos",No source-stated absolute applicant count was returned.,Distinct from W026 terms; no ratio or list count used.
W029-EA08,APPLICANTS_2018,2026-09-06,servicos.nc.ufpr.br,https://servicos.nc.ufpr.br/documentos/ps2018/,The precise process-root request redirected to the official 404 page.,No guessed child paths or directory traversal used; no nonexistence inference.
W029-EA09,APPLICANTS_2018,2026-09-06,nc.ufpr.br;servicos.nc.ufpr.br,"site:nc.ufpr.br OR site:servicos.nc.ufpr.br \"Vestibular UFPR 2018\" \"Informática Biomédica\" \"número de inscritos\"",No source-stated absolute applicant count was returned.,No candidate list cutoff or vacancy surface was converted into a total.
W029-EA10,APPLICANTS_2025,2026-09-06,nc.ufpr.br;servicos.nc.ufpr.br,"site:nc.ufpr.br OR site:servicos.nc.ufpr.br \"Processo Seletivo UFPR 2025\" \"Informática Biomédica\" inscritos",The result exposed official phase-result index pages but no source-stated aggregate applicant count.,A result index is not counted or treated as a registration-total report.
W029-EA11,APPLICANTS_2025,2026-09-06,servicos.nc.ufpr.br,https://servicos.nc.ufpr.br/documentos/ps2025/,The precise process-root request redirected to the official 404 page.,No guessed child paths or directory traversal used; no nonexistence inference.
W029-EA12,APPLICANTS_2025,2026-09-06,nc.ufpr.br;servicos.nc.ufpr.br,"site:nc.ufpr.br OR site:servicos.nc.ufpr.br \"PS2025\" \"Informática Biomédica\" \"número de inscritos\"",No source-stated absolute applicant count was returned.,Named-result pages were not counted.
W029-EA13,APPLICANTS_2026,2026-09-06,nc.ufpr.br;servicos.nc.ufpr.br,"site:nc.ufpr.br OR site:servicos.nc.ufpr.br \"PS2026\" \"Informática Biomédica\" inscritos",The result exposed an official first-phase result index without a source-stated aggregate applicant count.,A phase-result list is not an applicant-total report and was not counted.
W029-EA14,APPLICANTS_2026,2026-09-06,servicos.nc.ufpr.br,https://servicos.nc.ufpr.br/documentos/ps2026/,The precise process-root request redirected to the official 404 page.,No guessed child paths or directory traversal used; no nonexistence inference.
W029-EA15,APPLICANTS_2026,2026-09-06,servicos.nc.ufpr.br,https://servicos.nc.ufpr.br/documentos/ps2026/resultado/1a_fase/index.html,Official first-phase index identified the course but stated no aggregate applicant total.,The index was not preserved because it is not qualifying evidence for a source-stated total and no rows were counted.
