curriculum_year,recommended_period,component_code,component_name,component_kind,workload_hours,formal_basis,source_document_id,source_sha256
2011,1,BA040,Anatomia Humana Sistêmica,componente codificado,60,Resolução 34/2010-CEPE,document-2011-resolution-34-2010,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26
2011,1,CI055,Algoritmos E Estruturas De Dados I,componente codificado,60,Resolução 34/2010-CEPE,document-2011-resolution-34-2010,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26
2011,1,CI241,Introdução A Sistemas Computacionais,componente codificado,60,Resolução 34/2010-CEPE,document-2011-resolution-34-2010,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26
2011,1,CM045,Geometria Analítica,componente codificado,60,Resolução 34/2010-CEPE,document-2011-resolution-34-2010,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26
2011,1,CM201,Calculo Diferencial E Integral I,componente codificado,60,Resolução 34/2010-CEPE,document-2011-resolution-34-2010,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26
2011,2,BQ005,Introducao A Bioquimica,componente codificado,60,Resolução 34/2010-CEPE,document-2011-resolution-34-2010,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26
2011,2,CI056,Algoritmos E Estruturas De Dados Ii,componente codificado,60,Resolução 34/2010-CEPE,document-2011-resolution-34-2010,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26
2011,2,CI067,Oficina De Computacao,componente codificado,60,Resolução 34/2010-CEPE,document-2011-resolution-34-2010,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26
2011,2,CI243,Fundamentos De Projeto E Arquitetura De Computadores,componente codificado,60,Resolução 34/2010-CEPE,document-2011-resolution-34-2010,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26
2011,2,CM005,Álgebra Linear,componente codificado,60,Resolução 34/2010-CEPE,document-2011-resolution-34-2010,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26
2011,3,BC056,Fundamentos De Biologia Celular E Tecidual,componente codificado,60,Resolução 34/2010-CEPE,document-2011-resolution-34-2010,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26
2011,3,BQ054,Biologia Molecular E Bioinformática,componente codificado,60,Resolução 34/2010-CEPE,document-2011-resolution-34-2010,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26
2011,3,CI057,Algoritmos E Estruturas De Dados Iii,componente codificado,60,Resolução 34/2010-CEPE,document-2011-resolution-34-2010,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26
2011,3,CI166,Metodologia Científica,componente codificado,60,Resolução 34/2010-CEPE,document-2011-resolution-34-2010,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26
2011,3,CI244,Fundamentos De Redes E Sistemas Distribuidos,componente codificado,60,Resolução 34/2010-CEPE,document-2011-resolution-34-2010,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26
2011,4,BF075,Fisiologia Para Informática Biomédica,componente codificado,60,Resolução 34/2010-CEPE,document-2011-resolution-34-2010,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26
2011,4,BG054,Genética E Evolução Para O Curso De Informática Biomédica,componente codificado,60,Resolução 34/2010-CEPE,document-2011-resolution-34-2010,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26
2011,4,CE003,Estatística Ii,componente codificado,60,Resolução 34/2010-CEPE,document-2011-resolution-34-2010,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26
2011,4,CI062,Tecnicas Alternativas De Programacao,componente codificado,60,Resolução 34/2010-CEPE,document-2011-resolution-34-2010,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26
2011,4,CI164,Introdução À Computação Científica,componente codificado,60,Resolução 34/2010-CEPE,document-2011-resolution-34-2010,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26
2011,4,CI215,Sistemas Operacionais,componente codificado,60,Resolução 34/2010-CEPE,document-2011-resolution-34-2010,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26
2011,5,CI065,Algoritmos E Teoria Dos Grafos,componente codificado,60,Resolução 34/2010-CEPE,document-2011-resolution-34-2010,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26
2011,5,CI162,Engenharia De Requisitos,componente codificado,60,Resolução 34/2010-CEPE,document-2011-resolution-34-2010,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26
2011,5,CI171,Aprendizado De Máquinas,componente codificado,60,Resolução 34/2010-CEPE,document-2011-resolution-34-2010,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26
