id,title,institution,source_url,accessed_at,document_date,document_type,local_path,sha256,version_or_validity,purpose,status,notes
2011-res34,Resolução nº 34/2010-CEPE,UFPR,https://www.inf.ufpr.br/infobiomedica/Arquivos/CEPE_Resolucao_34_2010.pdf,2026-09-04,2010,Resolution,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,2011 established only for Resolution/PPC; portal capture current,2011 curriculum act and formal catalog,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ppc,Projeto Pedagógico do Bacharelado em Informática Biomédica,UFPR,https://ibm.inf.ufpr.br/media/ppc-bib-1-1.pdf,2026-09-04,2010-07-30,PPC,curriculos/2011/fontes/ppc-2011.pdf,ab0bf7e45575baa9ad8cad429d5f5e2467093a5dd8c2852c7d54cdd0ec1f891d,2011 established only for Resolution/PPC; portal capture current,corroborating curriculum structure,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-curriculo,Currículo 96A — Informática Biomédica,UFPR,https://ementario.ufpr.br/ementario/curriculo.action?v=1225,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/curriculo-96a.html,5c3e824bb8a44d72f59affc4b2409c44acdcbbdf403ec7ca3a5c8440f5851363,2011 established only for Resolution/PPC; portal capture current,current portal representation of 96A curriculum,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-course,Curso 96A — Informática Biomédica,UFPR,https://ementario.ufpr.br/ementario/curso.action?v=1225,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/curso-96a.html,bfe518dd23253ab5cd0a34b85b36694326f6b990ae7651aa3399f5a6ea9a68d5,2011 established only for Resolution/PPC; portal capture current,course identity context,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-ci241,Ementário component record — CI241,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161246,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161246.html,b12de39d630bc2ee64ba019de984e69c69225ea0481f7cc7e83f1e8a56491d5a,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for CI241,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-ci055,Ementário component record — CI055,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161247,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161247.html,c231b4ffb8da01ab8af6e8725ea10020b881fc5288c92af843208c6f2a2df5fb,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for CI055,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-cm201,Ementário component record — CM201,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161248,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161248.html,8c59f398f97bfa24dd4694f3a6dda2232af29f340135995db425e4e06ea34880,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for CM201,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-cm045,Ementário component record — CM045,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161249,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161249.html,4e2f514e2494307e7ff3068fa32a2246e396787d6fdfcdb2705b1722512c5141,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for CM045,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-ba040,Ementário component record — BA040,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161250,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161250.html,5901f4c56c95db2c6e750b766d0c1e122d354537b2ed1520c3a3fce9dfa457eb,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for BA040,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-ci243,Ementário component record — CI243,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161251,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161251.html,3f24d211c527398750c715b9ca02eb984c63b6ac8d4409e8c7c4c10a302d840a,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for CI243,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-ci056,Ementário component record — CI056,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161252,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161252.html,1e223320bdff29151b8effb732a3808ef8446e890fcc8a1d1bb8b6c19bf67b08,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for CI056,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
