target_id,target_type,code,title,status,recommended_term,total_hours,weekly_total_hours,credits,formal_evidence_path,formal_evidence_sha256,applicability,department,department_state,prerequisite,prerequisite_state,corequisite,corequisite_state,equivalence,equivalence_state,hidden_requirement,hidden_requirement_state,ficha1_status,ficha1_evidence_path,ficha1_applicability,ficha2_status,gaps_conflicts
CI241,coded_component,CI241,Introdução A Sistemas Computacionais,proven,1,60,4,3,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Informática,proven in preserved 96A Ementário representation; no separate historical unit act located,,none stated in resolution,,none stated in resolution,,not_located,not applicable: component is a member of Bloco A,not_applicable,located_indeterminate,curriculos/2011/fichas/ficha-1-indeterminada/CI241-ficha-1-2025-3-periodo.pdf,indeterminate: 2025 signature; code continuity cannot establish 2011 applicability,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
CI055,coded_component,CI055,Algoritmos E Estruturas De Dados I,proven,1,60,4,3,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Informática,proven in preserved 96A Ementário representation; no separate historical unit act located,,none stated in resolution,,none stated in resolution,,not_located,not applicable: component is a member of Bloco A,not_applicable,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
CM201,coded_component,CM201,Calculo Diferencial E Integral I,proven,1,60,4,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Matemática,proven in preserved 96A Ementário representation; no separate historical unit act located,,none stated in resolution,,none stated in resolution,,not_located,not applicable: component is a member of Bloco A,not_applicable,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
CM045,coded_component,CM045,Geometria Analítica,proven,1,60,4,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Matemática,proven in preserved 96A Ementário representation; no separate historical unit act located,,none stated in resolution,,none stated in resolution,,not_located,not applicable: component is a member of Bloco A,not_applicable,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
BA040,coded_component,BA040,Anatomia Humana Sistêmica,proven,1,60,4,3,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Anatomia,proven in preserved 96A Ementário representation; no separate historical unit act located,,none stated in resolution,,none stated in resolution,,not_located,not applicable: component is a member of Bloco A,not_applicable,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
CI243,coded_component,CI243,Fundamentos De Projeto E Arquitetura De Computadores,proven,2,60,4,3,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Informática,proven in preserved 96A Ementário representation; no separate historical unit act located,,none stated in resolution,,none stated in resolution,,not_located,not applicable: component is a member of Bloco A,not_applicable,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
CI056,coded_component,CI056,Algoritmos E Estruturas De Dados Ii,proven,2,60,4,3,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Informática,proven in preserved 96A Ementário representation; no separate historical unit act located,CI055,proven in resolution,,none stated in resolution,,not_located,not applicable: component is a member of Bloco A,not_applicable,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
CI067,coded_component,CI067,Oficina De Computacao,proven,2,60,4,3,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Informática,proven in preserved 96A Ementário representation; no separate historical unit act located,CI055,proven in resolution,,none stated in resolution,,not_located,not applicable: component is a member of Bloco A,not_applicable,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
CM005,coded_component,CM005,Álgebra Linear,proven,2,60,4,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Matemática,proven in preserved 96A Ementário representation; no separate historical unit act located,CM045,proven in resolution,,none stated in resolution,,not_located,not applicable: component is a member of Bloco A,not_applicable,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
BQ005,coded_component,BQ005,Introducao A Bioquimica,proven,2,60,4,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Bioquímica e Biologia Molecular,proven in preserved 96A Ementário representation; no separate historical unit act located,,none stated in resolution,,none stated in resolution,,not_located,not applicable: component is a member of Bloco A,not_applicable,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
CI244,coded_component,CI244,Fundamentos De Redes E Sistemas Distribuidos,proven,3,60,4,3,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Informática,proven in preserved 96A Ementário representation; no separate historical unit act located,,none stated in resolution,,none stated in resolution,,not_located,not applicable: component is a member of Bloco A,not_applicable,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
CI057,coded_component,CI057,Algoritmos E Estruturas De Dados Iii,proven,3,60,4,3,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Informática,proven in preserved 96A Ementário representation; no separate historical unit act located,CI056,proven in resolution,,none stated in resolution,,not_located,not applicable: component is a member of Bloco A,not_applicable,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
CI166,coded_component,CI166,Metodologia Científica,proven,3,60,4,3,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Informática,proven in preserved 96A Ementário representation; no separate historical unit act located,,none stated in resolution,,none stated in resolution,,not_located,not applicable: component is a member of Bloco A,not_applicable,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
