dependency_id,from_target,to_target,relation,requirement_text,evidence_path,sha256,status,applicability,notes
PR-CI055-CI056,CI055,CI056,prerequisite,CI055 is prerequisite of CI056,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,2011,Anexo I.
PR-CI055-CI067,CI055,CI067,prerequisite,CI055 is prerequisite of CI067,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,2011,Anexo I.
PR-CM045-CM005,CM045,CM005,prerequisite,CM045 is prerequisite of CM005,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,2011,Anexo I.
PR-CI056-CI057,CI056,CI057,prerequisite,CI056 is prerequisite of CI057,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,2011,Anexo I.
PR-CE003-CI171,CE003,CI171,prerequisite,CE003 is prerequisite of CI171,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,2011,Anexo I.
PR-CE003-CI169,CE003,CI169,prerequisite,CE003 is prerequisite of CI169,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,2011,Anexo I.
PR-CI394-CI172,CI394,CI172,prerequisite,CI394 is prerequisite of CI172,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,2011,Anexo I.
BLOCK-A-CI244,BLOCK-A,CI244,hidden_requirement,"Complete all Bloco A disciplines before taking any other discipline, except with Colegiado authorization",curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,2011,"Article 2; endpoint is a rule node, not a component code."
BLOCK-A-CI057,BLOCK-A,CI057,hidden_requirement,"Complete all Bloco A disciplines before taking any other discipline, except with Colegiado authorization",curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,2011,"Article 2; endpoint is a rule node, not a component code."
BLOCK-A-CI166,BLOCK-A,CI166,hidden_requirement,"Complete all Bloco A disciplines before taking any other discipline, except with Colegiado authorization",curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,2011,"Article 2; endpoint is a rule node, not a component code."
BLOCK-A-BQ054,BLOCK-A,BQ054,hidden_requirement,"Complete all Bloco A disciplines before taking any other discipline, except with Colegiado authorization",curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,2011,"Article 2; endpoint is a rule node, not a component code."
BLOCK-A-BC056,BLOCK-A,BC056,hidden_requirement,"Complete all Bloco A disciplines before taking any other discipline, except with Colegiado authorization",curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,2011,"Article 2; endpoint is a rule node, not a component code."
BLOCK-A-CI215,BLOCK-A,CI215,hidden_requirement,"Complete all Bloco A disciplines before taking any other discipline, except with Colegiado authorization",curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,2011,"Article 2; endpoint is a rule node, not a component code."
BLOCK-A-CI062,BLOCK-A,CI062,hidden_requirement,"Complete all Bloco A disciplines before taking any other discipline, except with Colegiado authorization",curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,2011,"Article 2; endpoint is a rule node, not a component code."
BLOCK-A-CE003,BLOCK-A,CE003,hidden_requirement,"Complete all Bloco A disciplines before taking any other discipline, except with Colegiado authorization",curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,2011,"Article 2; endpoint is a rule node, not a component code."
BLOCK-A-CI164,BLOCK-A,CI164,hidden_requirement,"Complete all Bloco A disciplines before taking any other discipline, except with Colegiado authorization",curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,2011,"Article 2; endpoint is a rule node, not a component code."
BLOCK-A-BF075,BLOCK-A,BF075,hidden_requirement,"Complete all Bloco A disciplines before taking any other discipline, except with Colegiado authorization",curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,2011,"Article 2; endpoint is a rule node, not a component code."
BLOCK-A-BG054,BLOCK-A,BG054,hidden_requirement,"Complete all Bloco A disciplines before taking any other discipline, except with Colegiado authorization",curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,2011,"Article 2; endpoint is a rule node, not a component code."
BLOCK-A-CI162,BLOCK-A,CI162,hidden_requirement,"Complete all Bloco A disciplines before taking any other discipline, except with Colegiado authorization",curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,2011,"Article 2; endpoint is a rule node, not a component code."
BLOCK-A-CI065,BLOCK-A,CI065,hidden_requirement,"Complete all Bloco A disciplines before taking any other discipline, except with Colegiado authorization",curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,2011,"Article 2; endpoint is a rule node, not a component code."
BLOCK-A-CI171,BLOCK-A,CI171,hidden_requirement,"Complete all Bloco A disciplines before taking any other discipline, except with Colegiado authorization",curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,2011,"Article 2; endpoint is a rule node, not a component code."
BLOCK-A-CI316,BLOCK-A,CI316,hidden_requirement,"Complete all Bloco A disciplines before taking any other discipline, except with Colegiado authorization",curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,2011,"Article 2; endpoint is a rule node, not a component code."
BLOCK-A-MN127,BLOCK-A,MN127,hidden_requirement,"Complete all Bloco A disciplines before taking any other discipline, except with Colegiado authorization",curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,2011,"Article 2; endpoint is a rule node, not a component code."
BLOCK-A-CI167,BLOCK-A,CI167,hidden_requirement,"Complete all Bloco A disciplines before taking any other discipline, except with Colegiado authorization",curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,2011,"Article 2; endpoint is a rule node, not a component code."
BLOCK-A-CI209,BLOCK-A,CI209,hidden_requirement,"Complete all Bloco A disciplines before taking any other discipline, except with Colegiado authorization",curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,2011,"Article 2; endpoint is a rule node, not a component code."
BLOCK-A-CI218,BLOCK-A,CI218,hidden_requirement,"Complete all Bloco A disciplines before taking any other discipline, except with Colegiado authorization",curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,2011,"Article 2; endpoint is a rule node, not a component code."
BLOCK-A-CI394,BLOCK-A,CI394,hidden_requirement,"Complete all Bloco A disciplines before taking any other discipline, except with Colegiado authorization",curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,2011,"Article 2; endpoint is a rule node, not a component code."
BLOCK-A-MN128,BLOCK-A,MN128,hidden_requirement,"Complete all Bloco A disciplines before taking any other discipline, except with Colegiado authorization",curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,2011,"Article 2; endpoint is a rule node, not a component code."
BLOCK-A-CI220,BLOCK-A,CI220,hidden_requirement,"Complete all Bloco A disciplines before taking any other discipline, except with Colegiado authorization",curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,2011,"Article 2; endpoint is a rule node, not a component code."
BLOCK-A-CI221,BLOCK-A,CI221,hidden_requirement,"Complete all Bloco A disciplines before taking any other discipline, except with Colegiado authorization",curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,2011,"Article 2; endpoint is a rule node, not a component code."
BLOCK-A-CI169,BLOCK-A,CI169,hidden_requirement,"Complete all Bloco A disciplines before taking any other discipline, except with Colegiado authorization",curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,2011,"Article 2; endpoint is a rule node, not a component code."
BLOCK-A-CI172,BLOCK-A,CI172,hidden_requirement,"Complete all Bloco A disciplines before taking any other discipline, except with Colegiado authorization",curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,2011,"Article 2; endpoint is a rule node, not a component code."
BLOCK-A-MN129,BLOCK-A,MN129,hidden_requirement,"Complete all Bloco A disciplines before taking any other discipline, except with Colegiado authorization",curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,2011,"Article 2; endpoint is a rule node, not a component code."
BLOCK-A-CI262,BLOCK-A,CI262,hidden_requirement,"Complete all Bloco A disciplines before taking any other discipline, except with Colegiado authorization",curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,2011,"Article 2; endpoint is a rule node, not a component code."
