target_id,code,ementa,evidence_type,evidence_path,sha256,document_date,applicability,status,notes
CI241,CI241,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161246.html,b12de39d630bc2ee64ba019de984e69c69225ea0481f7cc7e83f1e8a56491d5a,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
CI055,CI055,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161247.html,c231b4ffb8da01ab8af6e8725ea10020b881fc5288c92af843208c6f2a2df5fb,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
CM201,CM201,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161248.html,8c59f398f97bfa24dd4694f3a6dda2232af29f340135995db425e4e06ea34880,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
CM045,CM045,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161249.html,4e2f514e2494307e7ff3068fa32a2246e396787d6fdfcdb2705b1722512c5141,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
BA040,BA040,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161250.html,5901f4c56c95db2c6e750b766d0c1e122d354537b2ed1520c3a3fce9dfa457eb,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
CI243,CI243,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161251.html,3f24d211c527398750c715b9ca02eb984c63b6ac8d4409e8c7c4c10a302d840a,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
CI056,CI056,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161252.html,1e223320bdff29151b8effb732a3808ef8446e890fcc8a1d1bb8b6c19bf67b08,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
CI067,CI067,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161253.html,e509cff9255e12cb78389264b7a04e6175ebf780ac5a68b78db92d2014c530c4,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
CM005,CM005,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161254.html,af2bae14ab5f0c5175049be81662c913338c1e97b75bc15560475a88007e90cd,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
BQ005,BQ005,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161255.html,b47c7fd7f9d131a33a64f604f91b9edcc629245bd02bcfd5a862a478e16ccc02,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
CI244,CI244,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161256.html,41181de757e0bfbee8c09d4e6ce393a0f5e159efa49873ee058f265e3ac951b4,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
CI057,CI057,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161257.html,82e1f96889c14b25865484a093f60fdb5a0bb5d6c6b5b9e3f2b1c03314cdf914,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
CI166,CI166,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161258.html,fadfcb1c476b67e96d4560090f379043ef6338409daaa27e1c0f234ae849cce9,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
BQ054,BQ054,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161259.html,77fb834a707aa2c98d88b25e3c01a53e766c348e4f1c7d6e99bd49edc0f9a7ec,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
BC056,BC056,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161260.html,c6b25b1d897c08093ae9c67bdf6e4c0cfe8503fc30205b2fb7afe5e7ef216e78,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
CI215,CI215,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161261.html,b9c35e6f7c73ba4c943f443e6d68c2dc571bbb98b487105438a81e797e20dbfb,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
CI062,CI062,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161262.html,7c185fa1c34ff08374cdc0162cbaa3b0895d53b68848bd11997a6a598d55b150,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
