code,title,hours,credits,formal_evidence_path,formal_evidence_sha256,catalog_status,notes
MN130,Gestão Hospitalar,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CE073,Análise De Dados Categóricos,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CE075,Análise De Dados Longitudinais,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CE077,Análise De Sobrevivência,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI059,Introducao A Teoria Da Computacao,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI069,Administracao De Empresas De Informatica,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI084,Topicos Em Teoria Dos Grafos,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI085,Topicos Em Computacao Grafica,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI086,Topicos Em Arquitetura De Computadores,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI087,Topicos Em Banco De Dados,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI088,Topicos Em Sistemas Distribuidos,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
