code,kind_in_index,index_label,source_url,local_path,status,sha256,bytes
CI1003,ficha-1,Introdução à Ciência da Computação,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/06/CI1003-Introdu%C3%A7%C3%A3o-%C3%A0-Ci%C3%AAncia-da-Computa%C3%A7%C3%A3o.pdf,curriculos/2023/fichas/dinf/CI1003/ficha-1.pdf,downloaded,50a65e1bfe4986f1e5ba39d9a36e1bec0ce8caf6c860df37ff5cfa99e748e91d,80916
CI1055,ficha-1,Ficha 1,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/CI1055-Algoritmos-e-Estruturas-de-Dados-1.pdf,curriculos/2023/fichas/dinf/CI1055/ficha-1.pdf,downloaded,2b08392604d4cfb41fbebef1d32ceb41372a8b7491fded4e593356735fcb5cca,106140
CI1055,ficha-2,Ficha 2,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/2CI1055-Algoritmos-e-Estruturas-de-Dados-1.pdf,curriculos/2023/fichas/dinf/CI1055/ficha-2.pdf,downloaded,42f73a148ef1a696f4e0b6fbb3c30c7f8138b0f6a2cad7adaa5ca5e60cd1274b,110378
CI1068,ficha-1,Ficha 1,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/CI1068-Circuitos-Digitais.pdf,curriculos/2023/fichas/dinf/CI1068/ficha-1.pdf,downloaded,084b876afffa82653a57836954458667f8ec07831db55f5d752749c4392ab8f6,106180
CI1068,ficha-2,Ficha 2,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/2CI1068-Circuitos-Digitais.pdf,curriculos/2023/fichas/dinf/CI1068/ficha-2.pdf,downloaded,6e058bd05aa110655c29802e29dc4251c719a070b6a05dcca10d35317b4dbb5c,105867
CI1001,ficha-1,Ficha 1,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/CI1001-Programa%C3%A7%C3%A3o-1.pdf,curriculos/2023/fichas/dinf/CI1001/ficha-1.pdf,downloaded,de98f9b0340f8243d9f8f1f8eb9f0ef76a63ced54fd2088f915709281fa4dbb8,107164
CI1001,ficha-2,Ficha 2,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/2CI1001-Programa%C3%A7%C3%A3o-1.pdf,curriculos/2023/fichas/dinf/CI1001/ficha-2.pdf,downloaded,84c915a688a91dbd12a2dc5b02880a9e527794e8fdbf93593a6c020fd46253ab,109728
CI1056,ficha-1,Ficha 1,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/CI1056-Algoritmos-e-Estrutura-de-Dados-2.pdf,curriculos/2023/fichas/dinf/CI1056/ficha-1.pdf,downloaded,20bc2234d68d3c913eb61f9a3bb09d4f90ee22beae707b94ff04d9c20f943899,105117
CI1056,ficha-2,Ficha 2,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/2CI1056-Algoritmos-e-Estrutura-de-Dados-2.pdf,curriculos/2023/fichas/dinf/CI1056/ficha-2.pdf,downloaded,2ab19eb5b0ad0a97f2969fee48d20d1e3b7ca4d96c4ec84d54e0984349f6fb74,106487
CI1002,ficha-1,Ficha 1,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/CI1002-Programa%C3%A7%C3%A3o-2.pdf,curriculos/2023/fichas/dinf/CI1002/ficha-1.pdf,downloaded,166c5dcb4b46c9a999308d4907559c3bd4697f79315800de887b660abe80412a,107160
CI1002,ficha-2,Ficha 2,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/2CI1002-Programa%C3%A7%C3%A3o-2.pdf,curriculos/2023/fichas/dinf/CI1002/ficha-2.pdf,downloaded,38fa483c190948cb22650b4be7b2fad869c1d4873246ef20ec64b63b167762b6,106613
CI1057,ficha-1,Ficha 1,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/CI1057-Algoritmos-e-estruturas-de-dados-3.pdf,curriculos/2023/fichas/dinf/CI1057/ficha-1.pdf,downloaded,c320e876f8476b9e3886e333b0504fdfea46f2bff3c5c00044d7232a75736dd5,107079
CI1057,ficha-2,Ficha 2,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/2CI1057-Algoritmos-e-estruturas-de-dados-3.pdf,curriculos/2023/fichas/dinf/CI1057/ficha-2.pdf,downloaded,b88ea7b59c1f1f2fa07ab99bf88d135a0d8f4cdb7493091dea2c7e40b3ea478b,105161
CI1212,ficha-1,Ficha 1,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/CI1212-Arquitetura-de-Computadores.pdf,curriculos/2023/fichas/dinf/CI1212/ficha-1.pdf,downloaded,cca92429315225a76dfb47799ffe906036bbe191118491dfa8105b1d97fc59d1,105004
CI1212,ficha-2,Ficha 2,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/2CI1212-Arquitetura-de-Computadores.pdf,curriculos/2023/fichas/dinf/CI1212/ficha-2.pdf,downloaded,1dafc6d8ddd012ef17e9e6e6dba63e8a881740d7d8946f8809b4e8f1d5eb4098,105222
CI1062,ficha-1,Ficha 1,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/CI1062-Paradigmas-de-Programa%C3%A7%C3%A3o.pdf,curriculos/2023/fichas/dinf/CI1062/ficha-1.pdf,downloaded,b2cd36af20053f8350e540438b4c4b2a3858a0aa3d0433b12fe0743a463201da,105286
CI1062,ficha-2,Ficha 2,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/2CI1062-Paradigmas-de-Programa%C3%A7%C3%A3o.pdf,curriculos/2023/fichas/dinf/CI1062/ficha-2.pdf,downloaded,fe80ce8b01026d0ebbc01dbeeb16a0f60b08adcb71f09d2e9e04027718c88a1b,105774
CI1350,ficha-1,Interação Humano-Computador,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/CI1350-Intera%C3%A7%C3%A3o-Humano-Computador.pdf,curriculos/2023/fichas/dinf/CI1350/ficha-1.pdf,downloaded,dcb36c82f988408238c203f4545d1832354f3622a1ffacfddc4092a86ad188ae,113344
CI1162,ficha-1,Engenharia de Requisitos,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/CI1162-Engenharia-de-Requisitos.pdf,curriculos/2023/fichas/dinf/CI1162/ficha-1.pdf,downloaded,b2ede35e45a0fe2a2a9cac34947685b01a46d52eada56af16f2051517cccac07,113374
CI1215,ficha-1,Sistemas Operacionais,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/CI1215-Sistemas-Operacionais.pdf,curriculos/2023/fichas/dinf/CI1215/ficha-1.pdf,downloaded,1de3538f19829396f8c7a99cd8af298d33afbc0b7ce2148dfafda13298f91e93,78127
CI1163,ficha-1,Ficha 1,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/CI1163-Design-de-Software.pdf,curriculos/2023/fichas/dinf/CI1163/ficha-1.pdf,downloaded,526de17265f23645e0c5f7acb2bb797181746d1a7fb322261cc722e8aef3d482,106807
CI1163,ficha-2,Ficha 2,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/2CI1163-Design-de-Software.pdf,curriculos/2023/fichas/dinf/CI1163/ficha-2.pdf,downloaded,a6ab7995bada41bcdd9682b5fe6911efde431ec27947cbcdd130118a8fe17086,105264
CI1171,ficha-1,Ficha 1,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/CI1171-Aprendizado-de-M%C3%A1quina.pdf,curriculos/2023/fichas/dinf/CI1171/ficha-1.pdf,downloaded,11aebfd7d749eeeeb29f9cecd5fb220b759fd874c32f74eeb08ed46f0706bd45,105799
CI1171,ficha-2,Ficha 2,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/2CI1171-Aprendizado-de-M%C3%A1quina.pdf,curriculos/2023/fichas/dinf/CI1171/ficha-2.pdf,downloaded,1a498d6c626f7b6c5c79042f154c2165d86fae26749bbc64c92dbbaf739018b6,104192
CI1209,ficha-1,Ficha 1,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/CI1209-Intelig%C3%AAncia-Artificial.pdf,curriculos/2023/fichas/dinf/CI1209/ficha-1.pdf,downloaded,3934fbf683f4fca4a63bc2522174122844f72cc8e4533eb350d6313810bf531f,107249
CI1209,ficha-2,Ficha 2,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/2CI1209-Intelig%C3%AAncia-Artificial.pdf,curriculos/2023/fichas/dinf/CI1209/ficha-2.pdf,downloaded,33f6f9147a0503404a3198f9bea4fe8315a645d9a0b523cc3c5a9e64b3f85edd,80872
CI1218,ficha-1,Ficha 1,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/CI1218-Bancos-de-Dados.pdf,curriculos/2023/fichas/dinf/CI1218/ficha-1.pdf,downloaded,85154d13ab06357b3cb1071dc6d4c45730151c0f81a0afb5b7eebc90197e7358,113022
CI1218,ficha-2,Ficha 2,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/2CI1218-Bancos-de-Dados.pdf,curriculos/2023/fichas/dinf/CI1218/ficha-2.pdf,downloaded,6cd9c7a2c75a3653e5dd7346fc3d2822d98a52692602d30802ecea931bf85185,105947
CI1316,ficha-1,Ficha 1,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/CI1316-Programa%C3%A7%C3%A3o-Paralela.pdf,curriculos/2023/fichas/dinf/CI1316/ficha-1.pdf,downloaded,cabf4d62a7024ac5f740a781044b0d1a3e320754ba771eea54ea5d48ffe8ef69,106306
CI1316,ficha-2,Ficha 2,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/2CI1316-Programa%C3%A7%C3%A3o-Paralela.pdf,curriculos/2023/fichas/dinf/CI1316/ficha-2.pdf,downloaded,f21ed72e45c0e3d98409397440714da28b457b5733e6e8250d24e79b831169e0,106211
CI1007,ficha-1,Ficha 1,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/CI1007-Seguran%C3%A7a-Computacional.pdf,curriculos/2023/fichas/dinf/CI1007/ficha-1.pdf,downloaded,8aa057ad98da9cee72cd52308cf00b2dabc2e05c2c2657a255c3e174e105c4c3,106187
CI1007,ficha-2,Ficha 2,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/2CI1007-Seguran%C3%A7a-Computacional.pdf,curriculos/2023/fichas/dinf/CI1007/ficha-2.pdf,downloaded,ec0352d9e4ed3a4f066cfa3b6a7b95e1216be346869a61f66e8010905a72afa4,107465
CI1221,ficha-1,Ficha 1,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/CI1221-Engenharia-de-Software.pdf,curriculos/2023/fichas/dinf/CI1221/ficha-1.pdf,downloaded,797917a917bdf10065b00957885b806408847df727053030fae0e4277fc7d86f,107397
CI1221,ficha-2,Ficha 2,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/2CI1221-Engenharia-de-Software.pdf,curriculos/2023/fichas/dinf/CI1221/ficha-2.pdf,downloaded,4868ad64df82d88d38b13334e622edf2a1de36cbe51fcf8bb4abfb2725905ac7,107442
