id,title,institution,source_url,accessed_at,document_date,document_type,local_path,sha256,version_or_validity,purpose,status,notes
W036-BCC-GRADE-2023,Grade Curricular 2023,Bacharelado em Ciência da Computação — UFPR,https://web.inf.ufpr.br/bcc/grade-curricular-2023/,2026-09-10,not stated,HTML page,curriculos/2023/fichas/w036-bcc-overlap/grade-curricular-2023.html,a45639d6e606ce8e077060f7000a34c1ef64e9c8f49f35bc40dbbc3d7ddb422c,current public capture,Establish exact-code discovery links for IBM/BCC shared components,preserved,The page context is BCC and does not alone prove IBM-2023 applicability.
W036-CM303-F1,Ficha 1 — Introdução à Geometria Analítica e Álgebra Linear,Departamento de Matemática — UFPR,https://web.inf.ufpr.br/bcc/wp-content/uploads/sites/4/2021/10/CM303.pdf,2026-09-10,2019-08-08,Ficha 1,curriculos/2023/fichas/w036-bcc-overlap/originais/CM303.pdf,6db245540df86c10728b909d1d331d0a47660893e85be66fb2a98e5e948f6a95,2019 document; IBM-2023 applicability indeterminate,Document a previously missing Ficha 1 version,preserved,Linked from the BCC curriculum-2023 page; no IBM applicability act located.
W036-CM304-F1,Ficha 1 — Complementos de Matemática,Departamento de Matemática — UFPR,https://web.inf.ufpr.br/bcc/wp-content/uploads/sites/4/2021/10/CM304.pdf,2026-09-10,2019-08-08,Ficha 1,curriculos/2023/fichas/w036-bcc-overlap/originais/CM304.pdf,2f1840037a79ad16fddc08655400acc14c36097b753a8aed1f612c075c59290d,2019 document; IBM-2023 applicability indeterminate,Document a previously missing Ficha 1 version,preserved,Linked from the BCC curriculum-2023 page; no IBM applicability act located.
W036-CM310-F1,Ficha 1 — Pré Cálculo,Departamento de Matemática — UFPR,https://web.inf.ufpr.br/bcc/wp-content/uploads/sites/4/2022/10/CM310.pdf,2026-09-10,not stated,Ficha 1,curriculos/2023/fichas/w036-bcc-overlap/originais/CM310.pdf,9cb951e3a692d09b16b219cccd485f41e875769c8fcfb70d40e91c9f562d5566,PDF modified 2022-06-29; IBM-2023 applicability indeterminate,Document a previously missing Ficha 1 version,preserved,Linked from the BCC curriculum-2023 page; the PDF has no visible approval date.
W036-CM311-F1,Ficha 1 — Cálculo 1,Departamento de Matemática — UFPR,https://web.inf.ufpr.br/bcc/wp-content/uploads/sites/4/2022/10/CM311.pdf,2026-09-10,not stated,Ficha 1,curriculos/2023/fichas/w036-bcc-overlap/originais/CM311.pdf,59a7c94034fe64c67a3452c6a7ac6a46fafc90bc1708f3c17e49aa96655e877e,PDF modified 2022-06-29; IBM-2023 applicability indeterminate,Document a previously missing Ficha 1 version,preserved,Linked from the BCC curriculum-2023 page; the PDF has no visible approval date.
W036-CI1169-F1,Ficha 1 — Bioinformática,Departamento de Informática — UFPR,https://web.inf.ufpr.br/bcc/wp-content/uploads/sites/4/2022/01/CI1169.pdf,2026-09-10,not stated,Ficha 1,curriculos/2023/fichas/w036-bcc-overlap/originais/CI1169.pdf,c08349e5dddb1cb0be0e8df8fd58cf5c7921bd14985f3cce8081178e4398ea21,pre-reform version; IBM-2023 applicability contradictory,Document a previously missing Ficha 1 version,preserved,PDF created 2021-12-07 and labels the component optative while Resolution 75/22 makes it mandatory.
W036-CI1172-F1,Ficha 1 — Processamento de Imagens Biomédicas,Departamento de Informática — UFPR,https://web.inf.ufpr.br/bcc/wp-content/uploads/sites/4/2022/01/CI1172.pdf,2026-09-10,not stated,Ficha 1,curriculos/2023/fichas/w036-bcc-overlap/originais/CI1172.pdf,73871df93d2aba2bc410e823059f73ce4b6a9dddd001d1e27622d23452c8b6be,pre-Resolution 80/22 version; IBM-2023 applicability contradictory,Document a previously missing Ficha 1 version,preserved,PDF created 2021-12-07 and labels the component optative; Resolution 80/22 establishes the 2023 component as mandatory.
W036-CE009-EMENTA,CE009 — Introdução à Estatística,Departamento de Estatística — UFPR,https://web.inf.ufpr.br/bcc/wp-content/uploads/sites/4/2021/10/CE009.pdf,2026-09-10,2021-08-11,official ementa export,curriculos/2023/fichas/w036-bcc-overlap/originais/CE009.pdf,5c1f8fc9d8797e4684962c3c19749f9ee45e687873a2f1d3c12df498d48bfbcc,IBM-2023 applicability indeterminate,Preserve a documentary lead without treating it as Ficha 1,preserved,The one-page SIGA export contains an ementa and bibliography but is not titled Ficha 1.
W036-BCC-DISCIPLINAS,Disciplinas,Bacharelado em Ciência da Computação — UFPR,https://web.inf.ufpr.br/bcc/semestres/,2026-09-10,not stated,HTML page,curriculos/2023/fichas/w036-bcc-overlap/paginas/bcc-disciplinas.html,14fbd412f86e97b7865f04391cb5c040f3e5025fe8812bae176e5b61cefa82a6,current public capture,Establish that term teaching plans are routed through SIGA,preserved,The page does not expose the authenticated plans.
W036-BIO-DEPARTAMENTOS,Departamentos,Setor de Ciências Biológicas — UFPR,https://bio.ufpr.br/departamentos/,2026-09-10,2026-07-02,HTML page,curriculos/2023/fichas/w036-bcc-overlap/paginas/biologicas-departamentos.html,ade6c80b1acb1359218ae0d6fcc8788c555817eb8c5c09e7761703e684f3ed13,current public capture,Provide departmental request routes for Biological Sciences,preserved,Public page lists Anatomy Cell Biology Biochemistry and Molecular Biology and Genetics contacts.
W036-ANATOMIA-DISCIPLINAS,Disciplinas,Departamento de Anatomia — UFPR,https://bio.ufpr.br/anatomia/disciplinas/,2026-09-10,not stated,HTML page,curriculos/2023/fichas/w036-bcc-overlap/paginas/anatomia-disciplinas.html,758202585fa970bc719f797a78aaef0ebab4654fbf0f335de6d7aaa01f3d4e09,current public capture,Check BA040 departmental listing and public Ficha availability,preserved,Lists BA040 but exposes no Ficha link.
W036-BIOQUIMICA-DISCIPLINAS,Disciplinas,Departamento de Bioquímica e Biologia Molecular — UFPR,https://bio.ufpr.br/bioquimica/disciplinas/,2026-09-10,not stated,HTML page,curriculos/2023/fichas/w036-bcc-overlap/paginas/bioquimica-disciplinas.html,493122cf091485507c7b06f86852de0fcbbd17cbb17200bf73c750cc6b0cadd8,current public capture,Check BQ112 and distinguish older same-title codes,preserved,The public tables contain BQ005 with the same title and BQ083 but not BQ112; BQ005 is not substituted.
