id,title,institution,source_url,accessed_at,document_date,document_type,local_path,sha256,version_or_validity,purpose,status,notes
2023-R75,Resolução nº 75/22-CEPE,UFPR CEPE,https://ibm.inf.ufpr.br/media/Resolucao-75-22-CEPE.pdf,2026-09-03,2022-12-02,Resolução,curriculos/2023/fontes/resolucao-75-22-cepe.pdf,b003d94ffe7a5d91b4f352c6531186cbf2e1ce3a3ee2acc5e1267ad572826d1d,ingressantes 2022/2023,matriz eletivas dependências e regras,preservado,original PDF
2023-PPC,PPC Informática Biomédica 2023,UFPR,https://ibm.inf.ufpr.br/media/PPC-2-1.pdf,2026-09-03,2022-09-29,PPC,curriculos/2023/fontes/ppc-2023.pdf,548f86328dd3a6940fda5535374882170d083eedb729bba601638bb7f26e4de6,2023,regulamentos,preservado,original PDF
2023-R76,Resolução nº 76/22-CEPE,UFPR CEPE,https://soc.ufpr.br/wp-content/uploads/2022/12/Resolução-76-22-CEPE.pdf,2026-09-03,2022-12-02,Resolução,curriculos/2023/fontes/resolucao-76-22-cepe.pdf,e3524cf27bd8e6440c018c19c5881daf73f73fa2bb6a24e88148afd2796ed820,ingressantes 2022/2023,BQ083 BQ112 creation,preservado,original PDF
2023-R77,Resolução nº 77/22-CEPE,UFPR CEPE,https://soc.ufpr.br/wp-content/uploads/2022/12/Resolução-77-22-CEPE.pdf,2026-09-03,2022-12-02,Resolução,curriculos/2023/fontes/resolucao-77-22-cepe.pdf,f68fcfb012ea216a3cf8444d93d47d13cf5b65882cabcf236048349cf348bc07,ingressantes 2022/2023,MN162 MN163 creation,preservado,original PDF
2023-R78,Resolução nº 78/22-CEPE,UFPR CEPE,https://soc.ufpr.br/wp-content/uploads/2022/12/Resolução-78-22-CEPE.pdf,2026-09-03,2022-12-02,Resolução,curriculos/2023/fontes/resolucao-78-22-cepe.pdf,9469d5d32629d024cef7ce56139fc4fda3d626027d7441c184e6880d4add6543,ingressantes 2022/2023,BF114 creation,preservado,original PDF
2023-R79,Resolução nº 79/22-CEPE,UFPR CEPE,https://soc.ufpr.br/wp-content/uploads/2022/12/Resolução-79-22-CEPE.pdf,2026-09-03,2022-12-02,Resolução,curriculos/2023/fontes/resolucao-79-22-cepe.pdf,d0690f2ae20bce17c3e609c88eea3389c22681e5c83beb5c6d36cb770b5044db,ingressantes 2022/2023,BG079 creation,preservado,original PDF
2023-R80,Resolução nº 80/22-CEPE,UFPR CEPE,https://soc.ufpr.br/wp-content/uploads/2022/12/Resolução-80-22-CEPE.pdf,2026-09-03,2022-12-02,Resolução,curriculos/2023/fontes/resolucao-80-22-cepe.pdf,341692b01d0570e2b642aaab758e3c932e1d8ea37668d97afadab0ece2503d73,ingressantes 2022/2023,created DInf components,preservado,actual stored-byte hash differs from older README transcription
2023-DINF,Disciplinas do Departamento de Informática,UFPR DInf,https://web.inf.ufpr.br/dinf/?page_id=232,2026-09-04,data não identificada,HTML page,curriculos/2023/fontes/pagina-dinf-disciplinas.html,aef453c94119c3ff934d98da0deb83d1ba85f8b27711bbaa5a36d9f79d2fbb4a,página atual,proveniência das Fichas DInf,preservado,captura HTML
2023-GRADE,Currículo 2023,UFPR Informática Biomédica,https://site-ibm-bbec98.pages.c3sl.ufpr.br/curso/curriculo-2023/,2026-09-03,data não identificada,HTML page,curriculos/2023/fontes/pagina-grade-2023.html,2329616dda04ab55c7468114c8d04a83cfb4e2b3ed450f6bc870421f0ae4c44f,página atual,controle institucional da vigência,preservado,captura HTML
2023-NORMAS,Normas e Procedimentos,UFPR Informática Biomédica,https://ibm.inf.ufpr.br/curso/normas-e-procedimentos/,2026-09-03,data não identificada,HTML page,curriculos/2023/fontes/pagina-normas-e-procedimentos.html,635dd92079325eba53df86d026458db527fa85290465faa67720959dc265acfd,atual,controle de referências regulamentares,preservado,captura HTML
2023-EMENTARIO,Portal do Ementário currículo 96A,UFPR,https://ementario.ufpr.br/ementario/curriculo.action?v=1225,2026-09-03,data não identificada,HTML page,curriculos/2023/fontes/pagina-grade-semestral.html,c7d880b2681abc959237526ecdb941c47c5207360f3d6883246497fe933f144c,stale representation,registro da divergência 3000h,preservado,captura HTML; não usado como matriz 2023
