code,document_kind,document_path,sha256,document_version_or_term,applicability_2023,transcription_status,notes
CI1001,Ficha 1,curriculos/2023/fichas/dinf/CI1001/ficha-1.pdf,de98f9b0340f8243d9f8f1f8eb9f0ef76a63ced54fd2088f915709281fa4dbb8,assinada 2019,indeterminado,transcrição normalizada em fichas/inventario-dinf.md,pré-reforma
CI1002,Ficha 1,curriculos/2023/fichas/dinf/CI1002/ficha-1.pdf,166c5dcb4b46c9a999308d4907559c3bd4697f79315800de887b660abe80412a,assinada 2018,indeterminado,transcrição normalizada em fichas/inventario-dinf.md,pré-reforma
CI1003,Ficha 1,curriculos/2023/fichas/dinf/CI1003/ficha-1.pdf,50a65e1bfe4986f1e5ba39d9a36e1bec0ce8caf6c860df37ff5cfa99e748e91d,data não extraída,indeterminado,transcrição normalizada em fichas/inventario-dinf.md,validade não localizada
CI1005,Ficha 1,curriculos/2023/fichas/dinf/CI1005/ficha-1.pdf,935422a55c7fe7098ea65530797d554f49b2ebe7fff09518da78fe8858a55aae,assinada 2018,indeterminado,transcrição normalizada em fichas/inventario-dinf.md,pré-reforma
CI1007,Ficha 1,curriculos/2023/fichas/dinf/CI1007/ficha-1.pdf,8aa057ad98da9cee72cd52308cf00b2dabc2e05c2c2657a255c3e174e105c4c3,assinada 2018,indeterminado,transcrição normalizada em fichas/inventario-dinf.md,pré-reforma
CI1055,Ficha 1,curriculos/2023/fichas/dinf/CI1055/ficha-1.pdf,2b08392604d4cfb41fbebef1d32ceb41372a8b7491fded4e593356735fcb5cca,assinada 2019,indeterminado,transcrição normalizada em fichas/inventario-dinf.md,pré-reforma
CI1056,Ficha 1,curriculos/2023/fichas/dinf/CI1056/ficha-1.pdf,20bc2234d68d3c913eb61f9a3bb09d4f90ee22beae707b94ff04d9c20f943899,assinada 2019,indeterminado,transcrição normalizada em fichas/inventario-dinf.md,pré-reforma
CI1057,Ficha 1,curriculos/2023/fichas/dinf/CI1057/ficha-1.pdf,c320e876f8476b9e3886e333b0504fdfea46f2bff3c5c00044d7232a75736dd5,assinada 2018,indeterminado,transcrição normalizada em fichas/inventario-dinf.md,pré-reforma
CI1062,Ficha 1,curriculos/2023/fichas/dinf/CI1062/ficha-1.pdf,b2cd36af20053f8350e540438b4c4b2a3858a0aa3d0433b12fe0743a463201da,assinada 2018,indeterminado,transcrição normalizada em fichas/inventario-dinf.md,pré-reforma
CI1068,Ficha 1,curriculos/2023/fichas/dinf/CI1068/ficha-1.pdf,084b876afffa82653a57836954458667f8ec07831db55f5d752749c4392ab8f6,assinada 2018,indeterminado,transcrição normalizada em fichas/inventario-dinf.md,pré-reforma
CI1162,Ficha 1,curriculos/2023/fichas/dinf/CI1162/ficha-1.pdf,b2ede35e45a0fe2a2a9cac34947685b01a46d52eada56af16f2051517cccac07,assinada 2018,indeterminado,transcrição normalizada em fichas/inventario-dinf.md,pré-reforma
CI1163,Ficha 1,curriculos/2023/fichas/dinf/CI1163/ficha-1.pdf,526de17265f23645e0c5f7acb2bb797181746d1a7fb322261cc722e8aef3d482,assinada 2018,indeterminado,transcrição normalizada em fichas/inventario-dinf.md,pré-reforma
CI1171,Ficha 1,curriculos/2023/fichas/dinf/CI1171/ficha-1.pdf,11aebfd7d749eeeeb29f9cecd5fb220b759fd874c32f74eeb08ed46f0706bd45,assinada 2019,indeterminado,transcrição normalizada em fichas/inventario-dinf.md,pré-reforma
CI1209,Ficha 1,curriculos/2023/fichas/dinf/CI1209/ficha-1.pdf,3934fbf683f4fca4a63bc2522174122844f72cc8e4533eb350d6313810bf531f,assinada 2019,indeterminado,transcrição normalizada em fichas/inventario-dinf.md,pré-reforma
CI1212,Ficha 1,curriculos/2023/fichas/dinf/CI1212/ficha-1.pdf,cca92429315225a76dfb47799ffe906036bbe191118491dfa8105b1d97fc59d1,assinada 2019,indeterminado,transcrição normalizada em fichas/inventario-dinf.md,pré-reforma
CI1215,Ficha 1,curriculos/2023/fichas/dinf/CI1215/ficha-1.pdf,1de3538e19829396f8c7a99cd8af298d33afbc0b7ce2148dfafda13298f91e93,data não extraída,indeterminado,transcrição normalizada em fichas/inventario-dinf.md,validade não localizada
CI1218,Ficha 1,curriculos/2023/fichas/dinf/CI1218/ficha-1.pdf,85154d13ab06357b3cb1071dc6d4c45730151c0f81a0afb5b7eebc90197e7358,assinada 2018,indeterminado,transcrição normalizada em fichas/inventario-dinf.md,pré-reforma
CI1221,Ficha 1,curriculos/2023/fichas/dinf/CI1221/ficha-1.pdf,797917a917bdf10065b00957885b806408847df727053030fae0e4277fc7d86f,assinada 2018,indeterminado,transcrição normalizada em fichas/inventario-dinf.md,pré-reforma
CI1316,Ficha 1,curriculos/2023/fichas/dinf/CI1316/ficha-1.pdf,cabf4d62a7024ac5f740a781044b0d1a3e320754ba771eea54ea5d48ffe8ef69,assinada 2018,indeterminado,transcrição normalizada em fichas/inventario-dinf.md,pré-reforma
CI1350,Ficha 1,curriculos/2023/fichas/dinf/CI1350/ficha-1.pdf,dcb36c82f988408238c203f4545d1832354f3622a1ffacfddc4092a86ad188ae,assinada 2018,indeterminado,transcrição normalizada em fichas/inventario-dinf.md,pré-reforma
MN162,Ficha 1,curriculos/2023/fichas/outros-departamentos/MN162-ficha-1.pdf,cfcb6de27917d0edb92c0b5f10093aafcd4843b079e30abf53d912ab3f705135,assinada 2019,contraditório,não transcrita,antecede criação formal de 2022
BQ083,Ficha 1,curriculos/2023/fichas/outros-departamentos/BQ083-ficha-1.pdf,65c7e762dd3e2587bee40187a0fdb690d60fd9f085b737b566b2439e95af5109,diretório 2021,contraditório,não transcrita,antecede criação formal de 2022
BF114,Ficha 1,curriculos/2023/fichas/outros-departamentos/BF114-ficha-1.pdf,405e9838e92b73ca318b66a9c5d47a7aed8e382bb64ee6d5b340bb3110e2300f,diretório 2024,indeterminado,não transcrita,validade não identificada
MN129,Ficha 2,curriculos/2023/fichas/outros-departamentos/MN129-ficha-2-2022-1.pdf,26d23f09c1250d85e14c1b37bb4616998cada9bfe47a8c5550f10226a333df2c,2022.1,não aplicável,não transcrita,Ficha 2 permanece plano separado e anterior à matriz
