code,title,total_hours,formal_source,status,notes
BC012,TECNICAS HISTOLOGICAS,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
BC043,BIOLOGIA CELULAR AVANÇADA,90,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
BC061,PROCESSOS CELULARES,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
BG020,GENETICA MEDICA,40,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
BG030,IMUNOGENETICA BASICA,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
BG048,GENÉTICA DE POPULAÇÕES HUMANAS,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
BG049,TEMAS ATUAIS EM GENÉTICA,30,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
BG055,CITOGENÉTICA HUMANA,45,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
BG066,EPIGENÉTICA,45,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1008,INTRODUÇÃO A SISTEMAS EMBARCADOS,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1009,COMPUTAÇÃO PARALELA COM GPUS,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1010,PROGRAMAÇÃO WEB,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1011,RECONHECIMENTO DE PADRÕES,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1013,GRANDES IDEIAS DA COMPUTAÇÃO TEÓRICA,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1014,REDES SOCIAIS E ECONÔMICAS,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1015,TESTE DE SOFTWARE,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1016,TÉCNICAS EM MODELAGEM DE APLICAÇÕES,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1017,CRIPTOGRAFIA,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1018,TÓPICOS EM INTELIGÊNCIA ARTIFICIAL,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1019,TÓPICOS EM INTELIGÊNCIA COMPUTACIONAL,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1020,ROBÓTICA MÓVEL,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1021,PROGRAMAÇÃO DE DISPOSITIVOS MÓVEIS,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1022,PROJETO DE SISTEMAS DIGITAIS,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1023,PROJETO DE SISTEMAS EMBARCADOS,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1024,TÓPICOS EM ARQUITETURA DE COMPUTADORES,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1025,DISPOSITIVOS REPROGRAMÁVEIS,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1026,VISÃO COMPUTACIONAL E PERCEPÇÃO,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1027,INTRODUÇÃO À PESQUISA EM CIÊNCIA DA COMPUTAÇÃO,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1028,BIOMETRIA E VIGILÂNCIA POR VISÃO COMPUTACIONAL,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1029,TÓPICOS EM SEGURANÇA COMPUTACIONAL,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1030,CIÊNCIA DE DADOS PARA SEGURANÇA,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1031,DESAFIOS DE PROGRAMAÇÃO,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
