origin_manifest,origin_row,record_id,identity_key,title,institution,source_url,accessed_at,document_date,document_type,local_path,sha256,version_or_validity,purpose,status,notes,conflict_group,conflict_fields,conflict_status,original_metadata_json
fontes/catalogo.csv,2,2011-res34,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,,UFPR,https://www.inf.ufpr.br/infobiomedica/Arquivos/CEPE_Resolucao_34_2010.pdf,2026-09-04,,resolution,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,2010,,preserved,Primary curriculum act,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,title|version_or_validity,metadata-differences-not-adjudicated,"{""accessed_at"": ""2026-09-04"", ""document_type"": ""resolution"", ""id"": ""2011-res34"", ""institution"": ""UFPR"", ""notes"": ""Primary curriculum act"", ""path"": ""curriculos/2011/fontes/resolucao-34-2010-cepe.pdf"", ""sha256"": ""bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26"", ""source_url"": ""https://www.inf.ufpr.br/infobiomedica/Arquivos/CEPE_Resolucao_34_2010.pdf"", ""status"": ""preserved"", ""version_or_date"": ""2010""}"
fontes/catalogo.csv,3,2011-ppc,curriculos/2011/fontes/ppc-2011.pdf,,UFPR,https://ibm.inf.ufpr.br/media/ppc-bib-1-1.pdf,2026-09-04,,PPC,curriculos/2011/fontes/ppc-2011.pdf,ab0bf7e45575baa9ad8cad429d5f5e2467093a5dd8c2852c7d54cdd0ec1f891d,2010-07-30,,preserved,Original project for implementation curriculum,curriculos/2011/fontes/ppc-2011.pdf,title|version_or_validity,metadata-differences-not-adjudicated,"{""accessed_at"": ""2026-09-04"", ""document_type"": ""PPC"", ""id"": ""2011-ppc"", ""institution"": ""UFPR"", ""notes"": ""Original project for implementation curriculum"", ""path"": ""curriculos/2011/fontes/ppc-2011.pdf"", ""sha256"": ""ab0bf7e45575baa9ad8cad429d5f5e2467093a5dd8c2852c7d54cdd0ec1f891d"", ""source_url"": ""https://ibm.inf.ufpr.br/media/ppc-bib-1-1.pdf"", ""status"": ""preserved"", ""version_or_date"": ""2010-07-30""}"
fontes/catalogo.csv,4,2011-page-grade,curriculos/2011/fontes/pagina-grade-2011.html,,UFPR,https://site-ibm-bbec98.pages.c3sl.ufpr.br/antigo/grade-2011/,2026-09-04,,HTML page,curriculos/2011/fontes/pagina-grade-2011.html,464c06cb964c2caa582acfcaa2ce983f83297efad070e9265e94dfee9c349e36,2025-10-22,,preserved,Retrospective page,,,single-origin,"{""accessed_at"": ""2026-09-04"", ""document_type"": ""HTML page"", ""id"": ""2011-page-grade"", ""institution"": ""UFPR"", ""notes"": ""Retrospective page"", ""path"": ""curriculos/2011/fontes/pagina-grade-2011.html"", ""sha256"": ""464c06cb964c2caa582acfcaa2ce983f83297efad070e9265e94dfee9c349e36"", ""source_url"": ""https://site-ibm-bbec98.pages.c3sl.ufpr.br/antigo/grade-2011/"", ""status"": ""preserved"", ""version_or_date"": ""2025-10-22""}"
fontes/catalogo.csv,5,2011-page-duration,curriculos/2011/fontes/pagina-curriculo-2011.html,,UFPR,https://site-ibm-bbec98.pages.c3sl.ufpr.br/antigo/curriculo-2011/,2026-09-04,,HTML page,curriculos/2011/fontes/pagina-curriculo-2011.html,ffb176ca0cf539ea6480f85fe89bd82c762c8eaa58add534b406a45f3511a915,2025-10-24,,preserved,Retrospective page,,,single-origin,"{""accessed_at"": ""2026-09-04"", ""document_type"": ""HTML page"", ""id"": ""2011-page-duration"", ""institution"": ""UFPR"", ""notes"": ""Retrospective page"", ""path"": ""curriculos/2011/fontes/pagina-curriculo-2011.html"", ""sha256"": ""ffb176ca0cf539ea6480f85fe89bd82c762c8eaa58add534b406a45f3511a915"", ""source_url"": ""https://site-ibm-bbec98.pages.c3sl.ufpr.br/antigo/curriculo-2011/"", ""status"": ""preserved"", ""version_or_date"": ""2025-10-24""}"
fontes/catalogo.csv,6,2011-page-ppc,curriculos/2011/fontes/pagina-ppc-2011.html,,UFPR,https://site-ibm-bbec98.pages.c3sl.ufpr.br/antigo/projeto-pedagogico-2011/,2026-09-04,,HTML page,curriculos/2011/fontes/pagina-ppc-2011.html,ba01dee18e8d6a9f2ca786968358ceda6bbb869b9afc21879a55da9e39a51fe1,2025-10-22,,preserved,Retrospective page,,,single-origin,"{""accessed_at"": ""2026-09-04"", ""document_type"": ""HTML page"", ""id"": ""2011-page-ppc"", ""institution"": ""UFPR"", ""notes"": ""Retrospective page"", ""path"": ""curriculos/2011/fontes/pagina-ppc-2011.html"", ""sha256"": ""ba01dee18e8d6a9f2ca786968358ceda6bbb869b9afc21879a55da9e39a51fe1"", ""source_url"": ""https://site-ibm-bbec98.pages.c3sl.ufpr.br/antigo/projeto-pedagogico-2011/"", ""status"": ""preserved"", ""version_or_date"": ""2025-10-22""}"
fontes/catalogo.csv,7,2023-ppc,curriculos/2023/fontes/ppc-2023.pdf,,UFPR,https://ibm.inf.ufpr.br/media/PPC_2023.pdf,2026-09-04,,PPC,curriculos/2023/fontes/ppc-2023.pdf,548f86328dd3a6940fda5535374882170d083eedb729bba601638bb7f26e4de6,2023,,preserved,Already present before this batch,curriculos/2023/fontes/ppc-2023.pdf,source_url|status|title,metadata-differences-not-adjudicated,"{""accessed_at"": ""2026-09-04"", ""document_type"": ""PPC"", ""id"": ""2023-ppc"", ""institution"": ""UFPR"", ""notes"": ""Already present before this batch"", ""path"": ""curriculos/2023/fontes/ppc-2023.pdf"", ""sha256"": ""548f86328dd3a6940fda5535374882170d083eedb729bba601638bb7f26e4de6"", ""source_url"": ""https://ibm.inf.ufpr.br/media/PPC_2023.pdf"", ""status"": ""preserved"", ""version_or_date"": ""2023""}"
fontes/catalogo.csv,8,2023-res75,curriculos/2023/fontes/resolucao-75-22-cepe.pdf,,UFPR,https://soc.ufpr.br/wp-content/uploads/2023/01/RESOLUCAO-75-22-CEPE.pdf,2026-09-04,,resolution,curriculos/2023/fontes/resolucao-75-22-cepe.pdf,b003d94ffe7a5d91b4f352c6531186cbf2e1ce3a3ee2acc5e1267ad572826d1d,2022,,preserved,Primary current curriculum act,curriculos/2023/fontes/resolucao-75-22-cepe.pdf,source_url|status|title|version_or_validity,metadata-differences-not-adjudicated,"{""accessed_at"": ""2026-09-04"", ""document_type"": ""resolution"", ""id"": ""2023-res75"", ""institution"": ""UFPR"", ""notes"": ""Primary current curriculum act"", ""path"": ""curriculos/2023/fontes/resolucao-75-22-cepe.pdf"", ""sha256"": ""b003d94ffe7a5d91b4f352c6531186cbf2e1ce3a3ee2acc5e1267ad572826d1d"", ""source_url"": ""https://soc.ufpr.br/wp-content/uploads/2023/01/RESOLUCAO-75-22-CEPE.pdf"", ""status"": ""preserved"", ""version_or_date"": ""2022""}"
fontes/catalogo.csv,9,2023-dinf-index,curriculos/2023/fontes/pagina-dinf-disciplinas.html,,UFPR,https://web.inf.ufpr.br/dinf/?page_id=232,2026-09-04,,HTML index,curriculos/2023/fontes/pagina-dinf-disciplinas.html,aef453c94119c3ff934d98da0deb83d1ba85f8b27711bbaa5a36d9f79d2fbb4a,current page captured 2026-09-04,,preserved,Source index for DInf Fichas,curriculos/2023/fontes/pagina-dinf-disciplinas.html,status|title|version_or_validity,metadata-differences-not-adjudicated,"{""accessed_at"": ""2026-09-04"", ""document_type"": ""HTML index"", ""id"": ""2023-dinf-index"", ""institution"": ""UFPR"", ""notes"": ""Source index for DInf Fichas"", ""path"": ""curriculos/2023/fontes/pagina-dinf-disciplinas.html"", ""sha256"": ""aef453c94119c3ff934d98da0deb83d1ba85f8b27711bbaa5a36d9f79d2fbb4a"", ""source_url"": ""https://web.inf.ufpr.br/dinf/?page_id=232"", ""status"": ""preserved"", ""version_or_date"": ""current page captured 2026-09-04""}"
fontes/catalogo.csv,10,2026-edital,administracao/mec/2026/edital-01-2026-prograp-proplad.pdf,,UFPR,user-provided file,2026-09-03,,internal call,administracao/mec/2026/edital-01-2026-prograp-proplad.pdf,dc8b4a809155f4995224ecc25c71ad873357ff605e04ceb92aaa25b659897a11,2026,,preserved,Original filename recorded in administrative README,administracao/mec/2026/edital-01-2026-prograp-proplad.pdf,source_url|status|version_or_validity,metadata-differences-not-adjudicated,"{""accessed_at"": ""2026-09-03"", ""document_type"": ""internal call"", ""id"": ""2026-edital"", ""institution"": ""UFPR"", ""notes"": ""Original filename recorded in administrative README"", ""path"": ""administracao/mec/2026/edital-01-2026-prograp-proplad.pdf"", ""sha256"": ""dc8b4a809155f4995224ecc25c71ad873357ff605e04ceb92aaa25b659897a11"", ""source_url"": ""user-provided file"", ""status"": ""preserved"", ""version_or_date"": ""2026""}"
fontes/catalogo.csv,11,2026-apendice-b,administracao/mec/2026/apendice-b-proposta-informatica-biomedica.pdf,,UFPR,user-provided file,2026-09-03,,proposal form,administracao/mec/2026/apendice-b-proposta-informatica-biomedica.pdf,994b17a9b1915a8d0dfc3104d01e7cc4d49b7f85e4002102687ee2e543109052,2026,,preserved,Original filename recorded in administrative README,administracao/mec/2026/apendice-b-proposta-informatica-biomedica.pdf,source_url|status|title|version_or_validity,metadata-differences-not-adjudicated,"{""accessed_at"": ""2026-09-03"", ""document_type"": ""proposal form"", ""id"": ""2026-apendice-b"", ""institution"": ""UFPR"", ""notes"": ""Original filename recorded in administrative README"", ""path"": ""administracao/mec/2026/apendice-b-proposta-informatica-biomedica.pdf"", ""sha256"": ""994b17a9b1915a8d0dfc3104d01e7cc4d49b7f85e4002102687ee2e543109052"", ""source_url"": ""user-provided file"", ""status"": ""preserved"", ""version_or_date"": ""2026""}"
