record_id,target_scope,document_title,document_type,document_date_or_version,source_path,source_sha256,applicability_2011,supported_use,justification,version_relationship
APP-RES34-2010,all 41 W009 targets,Resolução nº 34/2010-CEPE,Resolution,2010,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,comprovada,"Formal 2011 curriculum identity, 37 coded components, four elective spaces, workloads, periodization, credits and stated prerequisites; no ementas or Fichas.",Article 5 states that the resolution enters into force in academic year 2011.,Primary 2011 curriculum act; controls formal structure.
APP-PPC-2010,2011 curriculum context,Projeto Pedagógico do Bacharelado em Informática Biomédica,PPC,2010-07-30,curriculos/2011/fontes/ppc-2011.pdf,ab0bf7e45575baa9ad8cad429d5f5e2467093a5dd8c2852c7d54cdd0ec1f891d,comprovada,Implementation-curriculum context and statement that Fichas 1 were annexed; the preserved 32-page PDF does not contain those annexes.,The repository-established 2010 PPC is the project for the curriculum implemented in 2011; its internal date is 2010-07-30.,Corroborating PPC; placeholder codes do not replace the final resolution.
APP-EMENTARIO-CI241-2026-09-04,CI241,Ementário component record — CI241,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161246.html,b12de39d630bc2ee64ba019de984e69c69225ea0481f7cc7e83f1e8a56491d5a,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-EMENTARIO-CI055-2026-09-04,CI055,Ementário component record — CI055,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161247.html,c231b4ffb8da01ab8af6e8725ea10020b881fc5288c92af843208c6f2a2df5fb,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-EMENTARIO-CM201-2026-09-04,CM201,Ementário component record — CM201,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161248.html,8c59f398f97bfa24dd4694f3a6dda2232af29f340135995db425e4e06ea34880,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-EMENTARIO-CM045-2026-09-04,CM045,Ementário component record — CM045,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161249.html,4e2f514e2494307e7ff3068fa32a2246e396787d6fdfcdb2705b1722512c5141,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-EMENTARIO-BA040-2026-09-04,BA040,Ementário component record — BA040,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161250.html,5901f4c56c95db2c6e750b766d0c1e122d354537b2ed1520c3a3fce9dfa457eb,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-EMENTARIO-CI243-2026-09-04,CI243,Ementário component record — CI243,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161251.html,3f24d211c527398750c715b9ca02eb984c63b6ac8d4409e8c7c4c10a302d840a,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-EMENTARIO-CI056-2026-09-04,CI056,Ementário component record — CI056,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161252.html,1e223320bdff29151b8effb732a3808ef8446e890fcc8a1d1bb8b6c19bf67b08,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-EMENTARIO-CI067-2026-09-04,CI067,Ementário component record — CI067,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161253.html,e509cff9255e12cb78389264b7a04e6175ebf780ac5a68b78db92d2014c530c4,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
