evidence_id,target_id,code,document_title,name_literal,ementa_literal,ementa_normalized,ementa_presence,total_hours,weekly_hours,credits,nature_literal,unit_literal,unit_normalized,prerequisites_literal,corequisites_literal,document_type,document_date,document_version,source_url,accessed_at,source_path,source_sha256,source_locator,applicability_2011,applicability_justification,observations
EMENTARIO-CI241-2026-09-04,CI241,CI241,Ementário component record — CI241,INTRODUÇÃO A SISTEMAS COMPUTACIONAIS,Não consta,,ausente_na_fonte,60,,4,Obrigatória,Departamento de Informática,Departamento de Informática,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161246,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161246.html,b12de39d630bc2ee64ba019de984e69c69225ea0481f7cc7e83f1e8a56491d5a,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
EMENTARIO-CI055-2026-09-04,CI055,CI055,Ementário component record — CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,Não consta,,ausente_na_fonte,60,,3,Obrigatória,Departamento de Informática,Departamento de Informática,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161247,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161247.html,c231b4ffb8da01ab8af6e8725ea10020b881fc5288c92af843208c6f2a2df5fb,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
EMENTARIO-CM201-2026-09-04,CM201,CM201,Ementário component record — CM201,CALCULO DIFERENCIAL E INTEGRAL I,Não consta,,ausente_na_fonte,60,,4,Optativa,Departamento de Matemática,Departamento de Matemática,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161248,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161248.html,8c59f398f97bfa24dd4694f3a6dda2232af29f340135995db425e4e06ea34880,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
EMENTARIO-CM045-2026-09-04,CM045,CM045,Ementário component record — CM045,Geometria Analítica,Não consta,,ausente_na_fonte,60,,4,Optativa,Departamento de Matemática,Departamento de Matemática,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161249,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161249.html,4e2f514e2494307e7ff3068fa32a2246e396787d6fdfcdb2705b1722512c5141,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
EMENTARIO-BA040-2026-09-04,BA040,BA040,Ementário component record — BA040,Anatomia Humana Sistêmica,Não consta,,ausente_na_fonte,60,,3,Obrigatória,Departamento de Anatomia,Departamento de Anatomia,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161250,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161250.html,5901f4c56c95db2c6e750b766d0c1e122d354537b2ed1520c3a3fce9dfa457eb,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
EMENTARIO-CI243-2026-09-04,CI243,CI243,Ementário component record — CI243,Fundamentos de Projeto e Arquitetura de Computadores,Não consta,,ausente_na_fonte,60,,3,Obrigatória,Departamento de Informática,Departamento de Informática,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161251,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161251.html,3f24d211c527398750c715b9ca02eb984c63b6ac8d4409e8c7c4c10a302d840a,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
EMENTARIO-CI056-2026-09-04,CI056,CI056,Ementário component record — CI056,ALGORITMOS E ESTRUTURAS DE DADOS II,Não consta,,ausente_na_fonte,60,,3,Obrigatória,Departamento de Informática,Departamento de Informática,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161252,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161252.html,1e223320bdff29151b8effb732a3808ef8446e890fcc8a1d1bb8b6c19bf67b08,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
EMENTARIO-CI067-2026-09-04,CI067,CI067,Ementário component record — CI067,OFICINA DE COMPUTACAO,Não consta,,ausente_na_fonte,60,,3,Obrigatória,Departamento de Informática,Departamento de Informática,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161253,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161253.html,e509cff9255e12cb78389264b7a04e6175ebf780ac5a68b78db92d2014c530c4,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
EMENTARIO-CM005-2026-09-04,CM005,CM005,Ementário component record — CM005,ÁLGEBRA LINEAR,Não consta,,ausente_na_fonte,60,,4,Optativa,Departamento de Matemática,Departamento de Matemática,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161254,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161254.html,af2bae14ab5f0c5175049be81662c913338c1e97b75bc15560475a88007e90cd,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
EMENTARIO-BQ005-2026-09-04,BQ005,BQ005,Ementário component record — BQ005,INTRODUCAO A BIOQUIMICA,Não consta,,ausente_na_fonte,60,,3,Obrigatória,Departamento de Bioquímica e Biologia Molecular,Departamento de Bioquímica e Biologia Molecular,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161255,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161255.html,b47c7fd7f9d131a33a64f604f91b9edcc629245bd02bcfd5a862a478e16ccc02,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
EMENTARIO-CI244-2026-09-04,CI244,CI244,Ementário component record — CI244,Fundamentos de Redes e Sistemas Distribuidos,Não consta,,ausente_na_fonte,60,,3,Obrigatória,Departamento de Informática,Departamento de Informática,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161256,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161256.html,41181de757e0bfbee8c09d4e6ce393a0f5e159efa49873ee058f265e3ac951b4,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
EMENTARIO-CI057-2026-09-04,CI057,CI057,Ementário component record — CI057,ALGORITMOS E ESTRUTURAS DE DADOS III,Não consta,,ausente_na_fonte,60,,3,Obrigatória,Departamento de Informática,Departamento de Informática,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161257,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161257.html,82e1f96889c14b25865484a093f60fdb5a0bb5d6c6b5b9e3f2b1c03314cdf914,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
EMENTARIO-CI166-2026-09-04,CI166,CI166,Ementário component record — CI166,Metodologia Científica,Não consta,,ausente_na_fonte,60,,3,Obrigatória,Departamento de Informática,Departamento de Informática,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161258,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161258.html,fadfcb1c476b67e96d4560090f379043ef6338409daaa27e1c0f234ae849cce9,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
EMENTARIO-BQ054-2026-09-04,BQ054,BQ054,Ementário component record — BQ054,Biologia Molecular e Bioinformática,Não consta,,ausente_na_fonte,60,,3,Obrigatória,Departamento de Bioquímica e Biologia Molecular,Departamento de Bioquímica e Biologia Molecular,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161259,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161259.html,77fb834a707aa2c98d88b25e3c01a53e766c348e4f1c7d6e99bd49edc0f9a7ec,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
EMENTARIO-BC056-2026-09-04,BC056,BC056,Ementário component record — BC056,Fundamentos de Biologia Celular e Tecidual,Não consta,,ausente_na_fonte,60,,3,Obrigatória,Departamento de Biologia Celular,Departamento de Biologia Celular,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161260,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161260.html,c6b25b1d897c08093ae9c67bdf6e4c0cfe8503fc30205b2fb7afe5e7ef216e78,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
EMENTARIO-CI215-2026-09-04,CI215,CI215,Ementário component record — CI215,SISTEMAS OPERACIONAIS,Não consta,,ausente_na_fonte,60,,3,Obrigatória,Departamento de Informática,Departamento de Informática,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161261,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161261.html,b9c35e6f7c73ba4c943f443e6d68c2dc571bbb98b487105438a81e797e20dbfb,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
EMENTARIO-CI062-2026-09-04,CI062,CI062,Ementário component record — CI062,TECNICAS ALTERNATIVAS DE PROGRAMACAO,Não consta,,ausente_na_fonte,60,,3,Obrigatória,Departamento de Informática,Departamento de Informática,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161262,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161262.html,7c185fa1c34ff08374cdc0162cbaa3b0895d53b68848bd11997a6a598d55b150,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
EMENTARIO-CE003-2026-09-04,CE003,CE003,Ementário component record — CE003,Estatística II,Não consta,,ausente_na_fonte,60,,4,Obrigatória,Departamento de Estatística,Departamento de Estatística,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161263,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161263.html,8b70cb63e015903b2b1d1e4fc596b3249b7f0f3cebba4c3f625a3e3f1bb1646b,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
EMENTARIO-CI164-2026-09-04,CI164,CI164,Ementário component record — CI164,Introdução à Computação Científica,Não consta,,ausente_na_fonte,60,,3,Obrigatória,Departamento de Informática,Departamento de Informática,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161264,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161264.html,7f3b5289edb2664004ec2b6c39761042880fc17dd78133718fe03a4ff2cfa9b0,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
EMENTARIO-BF075-2026-09-04,BF075,BF075,Ementário component record — BF075,Fisiologia para Informática Biomédica,Não consta,,ausente_na_fonte,60,,4,Obrigatória,Departamento de Fisiologia,Departamento de Fisiologia,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161265,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161265.html,0f70753326ab68a15babf34ea0d8599c918a4c1507553322956b593c4a89c808,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
EMENTARIO-BG054-2026-09-04,BG054,BG054,Ementário component record — BG054,Genética e Evolução para o Curso de Informática Biomédica,Não consta,,ausente_na_fonte,60,,3,Obrigatória,Departamento de Genética,Departamento de Genética,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161266,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161266.html,4bcf3f973b2352949314b71d688e8f2a6a17467d7492e860b99907c1a856ff47,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
EMENTARIO-CI162-2026-09-04,CI162,CI162,Ementário component record — CI162,Engenharia de Requisitos,Não consta,,ausente_na_fonte,60,,3,Obrigatória,Departamento de Informática,Departamento de Informática,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161267,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161267.html,b30e8178d028d221d250b451ca120e05f670da5e1a76fda0a00c0c53766dcaed,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
EMENTARIO-CI065-2026-09-04,CI065,CI065,Ementário component record — CI065,ALGORITMOS E TEORIA DOS GRAFOS,Não consta,,ausente_na_fonte,60,,3,Obrigatória,Departamento de Informática,Departamento de Informática,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161268,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161268.html,05926c56a8826a75a31a2273c7cab5db238dbcafcd9d9a98f225cd8cc9dff946,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
