document_id,document_kind,source_title,source_path,source_url,source_sha256,manifest_path,document_date,applicability,notes,raw_text_path,page_count
W022-CI055-F1-2011,Ficha 1,PLANO DE ENSINO — Ficha No 1 (parte PERMANENTE): CI055 – Algoritmos e Estruturas de Dados I,curriculos/2011/fichas/w022-ci055/ficha-1-indeterminada/CI055-ficha-1-2011-archive.pdf,https://www.inf.ufpr.br/dinf/Disciplinas/2011_Fichas1/CI055.pdf,5f80efe78691fab04d22bb74d4b6aa065f775255f3008f0720a86df6afc72c22,curriculos/2011/fichas/w022-ci055/manifesto.csv,2010-09-28,preserved_indeterminate,"The source identifies CI055 and a 2011/01 validity date, but does not name Informática Biomédica/96A. Its applicability to the 2011 Biomedical Informatics curriculum is therefore indeterminate, not inferred from code/title.",raw-text/W022-CI055-F1-2011.json,1
W022-CI055-F2-2011-1,Ficha 2,PLANO DE ENSINO — Ficha N° 2: CI055 – Algoritmos e Estruturas de Dados I,curriculos/2011/fichas/w022-ci055/ficha-2-separada/CI055-ficha-2-2011-1-marcos.pdf,https://www.inf.ufpr.br/arquivos/dinf/Disciplinas/201x_Fichas2/CI055_Ficha2_2011_Marcos.pdf,0ba8308460a2930c3723f53e48874528b409a56d6b2a737db8e21e35c1976363,curriculos/2011/fichas/w022-ci055/manifesto.csv,2011-08-15,preserved_indeterminate,"Kept separate from Ficha 1. It explicitly applies to Ciência da Computação turma A, not Informática Biomédica/96A; no substitution is made.",raw-text/W022-CI055-F2-2011-1.json,2
W022-CI055-OLDER-COMPONENT,undesignated component document,CI055 – Algoritmos e Estruturas de Dados I,curriculos/2011/fichas/w022-ci055/ficha-1-indeterminada/CI055-ficha-1-1998-2010-directory.pdf,https://www.inf.ufpr.br/dinf/Disciplinas/CComputacaoeInformatica_1998a2010_Fichas1e2/CI055.pdf,035ac7ad3a4eb9fc11e71b0dc520b7edac1c1ef85414e78e44a24777401b537f,curriculos/2011/fichas/w022-ci055/manifesto.csv,2007-12-13,preserved_indeterminate,The PDF has no internal Ficha 1/Ficha 2 label or course assignment. It cannot establish 2011 or curriculum-96A applicability.,raw-text/W022-CI055-OLDER-COMPONENT.json,1
W022-CI056-F1-2011,Ficha 1,PLANO DE ENSINO — Ficha No 1 (parte PERMANENTE): CI056 – Algoritmos e Estruturas de Dados II,curriculos/2011/fichas/w022-ci056/ficha-1-indeterminada/CI056-ficha-1-2011-dinf-archive.pdf,https://www.inf.ufpr.br/dinf/Disciplinas/2011_Fichas1/CI056.pdf,f52673afd6ef03d803bb26e57d94bcc7eaee3f5f8577dabe6d84a114cdfb5e3e,curriculos/2011/fichas/w022-ci056/manifesto.csv,2010-09-28,preserved_indeterminate,"The source identifies CI056 and a 2011/01 validity date, but does not name Informática Biomédica or curriculum 96A. Applicability to the 2011 Biomedical Informatics curriculum remains indeterminate.",raw-text/W022-CI056-F1-2011.json,1
W022-CI056-F2-IBM-2010-1,Ficha 2,PLANO DE ENSINO — Ficha N° 2: CI056 – Algoritmos e Estruturas de Dados II,curriculos/2011/fichas/w022-ci056/ficha-2-separada/CI056-ficha-2-infobiomedica-2010-1.pdf,https://www.inf.ufpr.br/infobiomedica/disciplinas/disciplinas_pdf/CI056_Ficha2.pdf,6cd371381d75140d506980c2ba0f0ee6c964929025358a71595fd1828f61a7d8,curriculos/2011/fichas/w022-ci056/manifesto.csv,2013-04-12,preserved_indeterminate,"Kept separate from Ficha 1. The source names Curso Informática Biomédica but does not identify a class or the 2011 curriculum version; its stated validity starts in 2010/1, so use in curriculum 96A is not inferred.",raw-text/W022-CI056-F2-IBM-2010-1.json,2
W022-CI057-F1-2011,Ficha 1,PLANO DE ENSINO — Ficha No 1 (parte PERMANENTE): CI057 – Algoritmos e Estruturas de Dados III,curriculos/2011/fichas/w022-ci057/ficha-1-indeterminada/CI057-ficha-1-2011-dinf-archive.pdf,https://www.inf.ufpr.br/dinf/Disciplinas/2011_Fichas1/CI057.pdf,5b028de6a54873b6c22922560dc8c55002aa6ff2b71406ce6cf26a4969e43e03,curriculos/2011/fichas/w022-ci057/manifesto.csv,2010-09-28,preserved_indeterminate,"The source identifies CI057 and a 2011/01 validity date, but does not name Informática Biomédica or curriculum 96A. Applicability to the 2011 Biomedical Informatics curriculum remains indeterminate.",raw-text/W022-CI057-F1-2011.json,1
W022-CI057-F2-2011-1,Ficha 2,PLANO DE ENSINO — Ficha N° 2: CI057 – Algoritmos e Estruturas de Dados III,curriculos/2011/fichas/w022-ci057/ficha-2-separada/CI057-ficha-2-2011-1-carmem.pdf,https://www.inf.ufpr.br/arquivos/dinf/Disciplinas/201x_Fichas2/CI057_Ficha2_2011_Carmem.pdf,1ad92265f5f6ff59c31f4d796144dcad02c631daaea8b7fea3c6a29e6a67e93e,curriculos/2011/fichas/w022-ci057/manifesto.csv,2011-10-17,preserved_indeterminate,"Kept separate from Ficha 1. It explicitly applies to Ciência da Computação turmas A e B, not Informática Biomédica/96A; no substitution or code-continuity inference is made.",raw-text/W022-CI057-F2-2011-1.json,2
W023-CI244-F1-2011,Ficha 1,PLANO DE ENSINO — Ficha No 1 (parte PERMANENTE): CI244 – Fundamentos de Redes e Sistemas Distribuídos,curriculos/2011/fichas/w023-ci244/ficha-1-indeterminada/CI244-ficha-1-2011-dinf-archive.pdf,https://www.inf.ufpr.br/dinf/Disciplinas/2011_Fichas1/CI244.pdf,aa8795df0aecb1b39c09f265fbe86bbcbe18f08874c55c98a4de390d340bd936,curriculos/2011/fichas/w023-ci244/manifesto.csv,2010-09-28,preserved_indeterminate,"The source identifies CI244 and a 2011/01 validity date, but does not name Informática Biomédica or curriculum 96A. Applicability to the 2011 Biomedical Informatics curriculum remains indeterminate.",raw-text/W023-CI244-F1-2011.json,1
W023-CI244-F2-2011-1,Ficha 2,PLANO DE ENSINO — Ficha N° 2: CI244 – Fundamentos de Redes e Sistemas Distribuídos,curriculos/2011/fichas/w023-ci244/ficha-2-separada/CI244-ficha-2-2011-1-albini.pdf,https://www.inf.ufpr.br/dinf/Disciplinas/201x_Fichas2/CI244_Ficha2_2011_Albini.pdf,05a949f9522a102756af2ba378b8f953fa2b21427a68882bf4aa48cf5d6898ab,curriculos/2011/fichas/w023-ci244/manifesto.csv,2012-02-16,preserved_indeterminate,"Kept separate from Ficha 1. It explicitly applies to Ciência da Computação turma A, not Informática Biomédica/96A; no substitution or code-continuity inference is made.",raw-text/W023-CI244-F2-2011-1.json,2
W024-BQ005-F1-2022,Ficha 1,SEI/UFPR - 4213300 - PROGRAD: FORMULÁRIO FICHA 1,curriculos/2011/fichas/w024-bq005/ficha-1-indeterminada/BQ005-ficha-1-2022.pdf,https://bio.ufpr.br/bioquimica/wp-content/uploads/sites/31/2021/12/BQ005-FICHA-1.pdf,2e86e1e0c72468fc69016a03e166e3a6c51d02134bf2ee15dd9cf158f57ec05e,curriculos/2011/fichas/w024-bq005/manifesto.csv,2022-06-09,preserved_indeterminate,The document names BQ005 but is signed in 2022 and does not establish applicability to curriculum 96A in 2011.,raw-text/W024-BQ005-F1-2022.json,2
