document_id,course,term_or_period,workload_literal,prerequisites_literal,corequisites_literal,ementa_literal,program_literal,objectives_literal,evaluation_literal,course_locator,term_locator,workload_locator,prerequisites_locator,corequisites_locator,ementa_locator,program_locator,objectives_locator,evaluation_locator,source_path,source_sha256,status
W022-CI055-F1-2011,,2011/01.,60     teórica: 30   prática: 30   estágio: 0    Total: 60   créditos: 3,,,Características básicas do computador. Representação e aritmética binária. Algoritmos. Repre- sentação de dados. Introdução a uma linguagem de programação. Solução de problemas simples por computadores.,,,,,page:1,page:1,page:1,page:1,page:1,page:1,,,curriculos/2011/fichas/w022-ci055/ficha-1-indeterminada/CI055-ficha-1-2011-archive.pdf,5f80efe78691fab04d22bb74d4b6aa065f775255f3008f0720a86df6afc72c22,literal_extraction_only
W022-CI055-F2-2011-1,Ciência da Computação,2011/1,,,,,"1. Breve histórico e noções dos componentes de um computador. Modelo de Von Neumann. 2. Estrutura básica de um programa em PASCAL. Comandos simples, comandos de atribuição, comandos de entrada e saída. O compilador PASCAL. Um primeiro programa em PASCAL. Como compilar este programa nos laboratórios do Departamento de Informática. 3. Expressões lógicas e aritméticas. 4. Comandos de desvio, de repetição e aninhamento de comandos. 5. Subprogramas. Procedimentos, escopo de variáveis, passagem de parâmetro (por valor e por referência), funções e procedimentos. 6. Vetores unidimensionais e multidimensionais, strings. Algoritmos de ordenação e de pesquisa. 7. Resolução de problemas computacionais por refinamentos sucessivos.","Capacitar o estudante a compreender o modelo de programação dos computadores atuais e a desenvolver programas usando técnicas elementares de algoritmos e estruturas de dados sobre este modelo. Capacitar o aluno a desenvolver soluções simples e eficazes para problemas diversos que podem ser resolvidos com as técnicas elementares, sempre considerando a noção de eficiência dos códigos desenvolvidos.",Três provas.,page:1;page:2,page:1,,,,page:1;page:2,page:1;page:2,page:1,page:1,curriculos/2011/fichas/w022-ci055/ficha-2-separada/CI055-ficha-2-2011-1-marcos.pdf,0ba8308460a2930c3723f53e48874528b409a56d6b2a737db8e21e35c1976363,literal_extraction_only
W022-CI055-OLDER-COMPONENT,,,,,,Caracterı́sticas básicas do computador. Representação e aritmética binária. Algoritmos. Representação de dados. Introdução a uma linguagem de programação. Solução de problemas simples por computadores. Objetivo: Apresentar ao aluno o funcionamento de um computador e técnicas elementares de pro- gramação e de desenvolvimento de algoritmos. Pré-requisito(s) sugerido(s): Não tem.,"1. Breve histórico do computador. Noções dos componentes de um computador. 2. Estrutura básica de um programa. 3. Comandos simples, comandos de atribuição, comandos de entrada e saı́da. 4. O compilador PASCAL. Um primeiro programa em PASCAL. Como compilar um programa. 5. Comandos de repetição com FOR. 6. Comandos de repetição com WHILE e REPEAT. 7. Comando de desvio com IF. 8. Subprogramas. Procedimentos, escopo de variáveis, passagem de parâmetro por valor e por referência, funções. 9. Vetores unidimensionais e multidimensionais, strings. 10. Algoritmos de ordenação e de pesquisa. 11. Tipo Registro (RECORD). 12. Algoritmos simples de agenda.",,,,,,,,page:1,page:1,,,curriculos/2011/fichas/w022-ci055/ficha-1-indeterminada/CI055-ficha-1-1998-2010-directory.pdf,035ac7ad3a4eb9fc11e71b0dc520b7edac1c1ef85414e78e44a24777401b537f,literal_extraction_only
W022-CI056-F1-2011,,2011/01.,60      teórica: 30   prática: 30   estágio: 0    Total: 60   créditos: 3,CI055,,"Estilos de programação. Refinamentos sucessivos. Tipos abstratos de dados: listas, pilhas, filas. Recursividade. Ordenação interna. Busca. Análise de complexidade dos algoritmos.",,,,,page:1,page:1,page:1,page:1,page:1,page:1,,,curriculos/2011/fichas/w022-ci056/ficha-1-indeterminada/CI056-ficha-1-2011-dinf-archive.pdf,f52673afd6ef03d803bb26e57d94bcc7eaee3f5f8577dabe6d84a114cdfb5e3e,literal_extraction_only
W022-CI056-F2-IBM-2010-1,Informática Biomédica,2010/1,,,,,"1. Introdução à análise de complexidade de algoritmos. Medidas de complexidade de algoritmos. 2. Análise assintótica de limites de complexidade. Crescimento de funções e comportamento assintótico. Notações e classes de complexidade padrão. 3. Compromissos de tempo e espaço em algoritmos. Eficiência dos algoritmos e uso dos recursos. 4. Técnicas para estimativa de custo e medições. Medidas empíricas de desempenho. 5. Existência de problemas intratáveis e de problemas não computáveis. 6. Recursão, funções matemáticas recursivas. Procedimentos recursivos simples. Implementação de recursão. 7. Análise de complexidade de algoritmos recursivos. 8. Uso de relações de recorrência para analisar algoritmos recursivos. Resolução de relações de recorrência simples. 9. Estruturas de dados fundamentais. Tipos de dados, estruturas de dados e tipos abstratos de dados. 10. Estruturas de dados na memória principal, alocação estática e dinâmica de memória. 11. Listas lineares e suas especializações: listas ordenadas, listas encadeadas, filas e pilhas. Aplicações de listas. 12. Algoritmos fundamentais para pesquisa e ordenação. Algoritmos para pesquisa e ordenação em memória principal. 13.Ordenação interna. Conceitos, classificação dos algoritmos de ordenação interna. 14. Algoritmos seleção direta, inserção direta, shellsort, quicksort, heapsort, mergesort. 15. Pesquisa em tabela não ordenada e ordenada, pesquisa binária.","Apresentar algoritmos e estruturas de dados básicas para o desenvolvimento de programas. Ao final do curso o aluno deverá ser capaz de utilizar a programação modular, dominando as principais técnicas utilizadas na implementação de estruturas de dados básicas, de algoritmos de ordenação e busca em memória principal. O aluno deverá ainda ser capaz de efetuar análises simples de complexidade de algoritmos.",1° teste: (1/3 da nota) 2° teste: (1/3 da nota) Trabalhos: (1/3 da nota),page:1;page:2,page:1,,,,page:1;page:2,page:1;page:2,page:2,page:2,curriculos/2011/fichas/w022-ci056/ficha-2-separada/CI056-ficha-2-infobiomedica-2010-1.pdf,6cd371381d75140d506980c2ba0f0ee6c964929025358a71595fd1828f61a7d8,literal_extraction_only
W022-CI057-F1-2011,,2011/01.,60      teórica: 30   prática: 30   estágio: 0    Total: 60   créditos: 3,CI056,,"Memória principal. Acesso seqüêncial, indexado. Árvore. Complexidade algoritmos. Ordenação externa. Árvores balanceadas. Conjuntos não ordenáveis.",,,,,page:1,page:1,page:1,page:1,page:1,,,,curriculos/2011/fichas/w022-ci057/ficha-1-indeterminada/CI057-ficha-1-2011-dinf-archive.pdf,5b028de6a54873b6c22922560dc8c55002aa6ff2b71406ce6cf26a4969e43e03,literal_extraction_only
W022-CI057-F2-2011-1,Ciência da Computação,2011/1,,,,,"Introdução a tipos abstratos de dados e o tipo dicionário. Árvores: definição e conceitos; aplicações; algoritmos básicos. Tipos de árvores: binária, binária de busca, AVL, rubro- negra. Busca externa: árvore B, B+, ISAM. Árvore digitais: de busca, trie, Patricia. Compressão de dados e Heap. Ordenação externa. Tabelas de dispersão.",Apresentar e analisar algoritmos e estruturas de dados para representação do Tipo Abstrato de dados Dicionário. Apresentar algoritmos de compressão de dados e ordenação e busca em armazenamento externo.,Duas provas discursivas e trabalhos práticos.,page:1;page:2,page:1,,,,page:1;page:2,page:1,page:1,page:1,curriculos/2011/fichas/w022-ci057/ficha-2-separada/CI057-ficha-2-2011-1-carmem.pdf,1ad92265f5f6ff59c31f4d796144dcad02c631daaea8b7fea3c6a29e6a67e93e,literal_extraction_only
W023-CI244-F1-2011,,2011/01.,60     teórica: 30   prática: 30   estágio: 0    Total: 60    créditos: 3,,,Modelos OSI e TCP/IP. Camada de Aplicação. Camada de Transporte. Camada de Rede. Modelos de Sistemas Distribuídos. Estruturas de Sistemas Distribuídos. Coordenação Distribuída.,,,,,page:1,page:1,page:1,page:1,page:1,,,,curriculos/2011/fichas/w023-ci244/ficha-1-indeterminada/CI244-ficha-1-2011-dinf-archive.pdf,aa8795df0aecb1b39c09f265fbe86bbcbe18f08874c55c98a4de390d340bd936,literal_extraction_only
W023-CI244-F2-2011-1,Ciência da Computação,2011/1,,,,,1.Modelo OSI e Modelo TCP/IP 2.Protocolos de camada de aplicação 3.Principais serviços e aplicativos da camada de aplicação 4.Protocolo TCP 5.Protocolo UDP 6.Protocolo IP 7.Modelos de Sistemas Distribuídos 8.Coordenação de concorrência em sistemas distribuídos,"OBJETIVO GERAL Propiciar ao aluno uma visão geral do funcionamento da Internet, bem como de seus principais protocolos e aplicações. Por fim é dada uma visão sobre os conceitos iniciais de Sistemas Distribuídos junto com um panorama de aplicações. OBJETIVO ESPECÍFICO","Duas provas, dois trabalhos e um exame final.",page:1;page:2,page:1,,,,page:2,page:1,page:1,page:2,curriculos/2011/fichas/w023-ci244/ficha-2-separada/CI244-ficha-2-2011-1-albini.pdf,05a949f9522a102756af2ba378b8f953fa2b21427a68882bf4aa48cf5d6898ab,literal_extraction_only
W024-BQ005-F1-2022,,,60,-,-,"Aspectos gerais da estrutura, metabolismo e função das proteínas, carboidratos, lipídeos e ácidos nucleicos.",,,,,,page:1,page:1,page:1,page:1;page:2,page:2,,page:2,curriculos/2011/fichas/w024-bq005/ficha-1-indeterminada/BQ005-ficha-1-2022.pdf,2e86e1e0c72468fc69016a03e166e3a6c51d02134bf2ee15dd9cf158f57ec05e,literal_extraction_only
