document_id,document_kind,code,source_title,ementa,source_total_hours,unit_department,document_date,signature_date,applicability_2023,source_path,source_sha256,source_url,title_locator,ementa_locator,total_hours_locator,unit_locator,date_locator,normalization_notes
CI1068-ficha-1,Ficha 1,CI1068,Circuitos Digitais,"Sistemas de numeração. Aritmética binária. Minimização e decomposição de funções booleanas. Circuitos combinacionais Circuitos sequenciais. Máquinas de estados. Gasto energético e meio ambiente.",60,"Departamento de Informática; Setor de Ciências Exatas; Universidade Federal do Paraná",not stated,06/11/2018,indeterminado,curriculos/2023/fichas/dinf/CI1068/ficha-1.pdf,084b876afffa82653a57836954458667f8ec07831db55f5d752749c4392ab8f6,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/CI1068-Circuitos-Digitais.pdf,"PDF p. 1, field `Disciplina` = `Circuitos Digitais`; field `Código` = `CI1068`","PDF p. 1, section heading `EMENTA`, paragraph below heading","PDF p. 1, field `CH Total` = `60`","PDF p. 1, institutional header: `UNIVERSIDADE FEDERAL DO PARANÁ`; `SETOR DE CIÊNCIAS EXATAS`; `Departamento de Informática`","PDF p. 1, electronic-signature statement: signed on `06/11/2018`; no separate document-date field stated","Normalized spacing/line breaks only; retained inventory transcription wording including `Circuitos combinacionais Circuitos sequenciais`; source PDF prevails; applicability remains indeterminado."
CI1162-ficha-1,Ficha 1,CI1162,Engenharia de Requisitos,"Introdução à Engenharia de Software; Sistemas de Software e Sistemas Sociotécnicos; Requisitos Funcionais e Não- Funcionais; Ética na Engenharia de Requisitos; Modelos de processos de software; Engenharia de requisitos; Análise de domínio: do problema e da solução; Técnicas para a elicitação, análise, especiﬁcação e validação de requisitos; Documento de requisitos; Introdução à UML: Diagrama de Casos de Uso, Modelo Conceitual. Computação e a sociedade.",60,"Departamento de Informática; Setor de Ciências Exatas; Universidade Federal do Paraná",not stated,"26/06/2018; 27/06/2018",indeterminado,curriculos/2023/fichas/dinf/CI1162/ficha-1.pdf,b2ede35e45a0fe2a2a9cac34947685b01a46d52eada56af16f2051517cccac07,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/CI1162-Engenharia-de-Requisitos.pdf,"PDF p. 1, field `Disciplina` = `Engenharia de Requisitos`; field `Código` = `CI1162`","PDF p. 1, section heading `EMENTA`, paragraph below heading","PDF p. 1, field `CH Total` = `60`","PDF p. 1, institutional header: `UNIVERSIDADE FEDERAL DO PARANÁ`; `SETOR DE CIÊNCIAS EXATAS`; `Departamento de Informática`","PDF p. 2, two electronic-signature statements: signed on `26/06/2018` and `27/06/2018`; no separate document-date field stated","Normalized spacing/line breaks only; retained inventory transcription's `Não- Funcionais` and `especiﬁcação`; source PDF prevails; applicability remains indeterminado."
CI1163-ficha-1,Ficha 1,CI1163,Design de Software,"Design de software. Interação entre análise de requisitos e design. Modelos de design de software. Linguagem de modelagem. Design da arquitetura de software. Design detalhado. Construção de modelos de design de software. Padrões de design. Revisões e inspeções. Correspondência entre design e codiﬁcação. Computação e a sociedade.",60,"Departamento de Informática; Setor de Ciências Exatas; Universidade Federal do Paraná",not stated,29/10/2018,indeterminado,curriculos/2023/fichas/dinf/CI1163/ficha-1.pdf,526de17265f23645e0c5f7acb2bb797181746d1a7fb322261cc722e8aef3d482,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/CI1163-Design-de-Software.pdf,"PDF p. 1, field `Disciplina` = `Design de Software`; field `Código` = `CI 1163`","PDF p. 1, section heading `EMENTA`, paragraph below heading","PDF p. 1, field `CH Total` = `60`","PDF p. 1, institutional header: `UNIVERSIDADE FEDERAL DO PARANÁ`; `SETOR DE CIÊNCIAS EXATAS`; `Departamento de Informática`","PDF p. 2, electronic-signature statement: signed on `29/10/2018`; no separate document-date field stated","Normalized spacing/line breaks only; PDF code has `CI 1163`; normalized code follows the existing inventory/manifest. Retained inventory transcription's `codiﬁcação`; applicability remains indeterminado."
CI1171-ficha-1,Ficha 1,CI1171,Aprendizado de Máquina,"Introdução ao aprendizado de máquina. Aprendizagem supervisionada. Avaliação de classiﬁcadores. Aprendizagem não supervisionada. Regressão. Algoritmos Genéticos e PSO.",60,"Departamento de Informática; Setor de Ciências Exatas; Universidade Federal do Paraná",not stated,26/02/2019,indeterminado,curriculos/2023/fichas/dinf/CI1171/ficha-1.pdf,11aebfd7d749eeeeb29f9cecd5fb220b759fd874c32f74eeb08ed46f0706bd45,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/CI1171-Aprendizado-de-M%C3%A1quina.pdf,"PDF p. 1, field `Disciplina` = `Aprendizado de Máquina`; field `Código` = `CI1171`","PDF p. 1, section heading `EMENTA`, paragraph below heading","PDF p. 1, field `CH Total` = `60`","PDF p. 1, institutional header: `UNIVERSIDADE FEDERAL DO PARANÁ`; `SETOR DE CIÊNCIAS EXATAS`; `Departamento de Informática`","PDF p. 1, electronic-signature statement: signed on `26/02/2019`; no separate document-date field stated","Normalized spacing/line breaks only; retained inventory transcription's `classiﬁcadores`; source PDF prevails; applicability remains indeterminado."
CI1209-ficha-1,Ficha 1,CI1209,Inteligência Artificial,"Conceitos fundamentais da Inteligência Artiﬁcial simbólica e aplicações. Ética na computação.",60,"Departamento de Informática; Setor de Ciências Exatas; Universidade Federal do Paraná",not stated,25/02/2019,indeterminado,curriculos/2023/fichas/dinf/CI1209/ficha-1.pdf,3934fbf683f4fca4a63bc2522174122844f72cc8e4533eb350d6313810bf531f,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/CI1209-Intelig%C3%AAncia-Artificial.pdf,"PDF p. 1, field `Disciplina` = `Inteligência Artiﬁcial`; field `Código` = `CI 1209`","PDF p. 1, section heading `EMENTA`, paragraph below heading","PDF p. 1, field `CH Total` = `60`","PDF p. 1, institutional header: `UNIVERSIDADE FEDERAL DO PARANÁ`; `SETOR DE CIÊNCIAS EXATAS`; `Departamento de Informática`","PDF p. 2, electronic-signature statement: signed on `25/02/2019`; no separate document-date field stated","Normalized spacing/line breaks only; PDF code has `CI 1209` and title extraction contains `Artiﬁcial`; normalized code/title follow the existing inventory/manifest. Applicability remains indeterminado."
CI1212-ficha-1,Ficha 1,CI1212,Arquitetura de Computadores,"Aritmética de inteiros e ponto ﬂutuante, avaliação de desempenho, processador pipeline, sistemas de memória, memória cache, memória virtual, arquiteturas de alto desempenho. Gasto energético e meio ambiente.",60,"Departamento de Informática; Setor de Ciências Exatas; Universidade Federal do Paraná",not stated,14/03/2019,indeterminado,curriculos/2023/fichas/dinf/CI1212/ficha-1.pdf,cca92429315225a76dfb47799ffe906036bbe191118491dfa8105b1d97fc59d1,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/CI1212-Arquitetura-de-Computadores.pdf,"PDF p. 1, field `Disciplina` = `Arquitetura de Computadores`; field `Código` = `CI1212`","PDF p. 1, section heading `EMENTA`, paragraph below heading","PDF p. 1, field `CH Total` = `60`","PDF p. 1, institutional header: `UNIVERSIDADE FEDERAL DO PARANÁ`; `SETOR DE CIÊNCIAS EXATAS`; `Departamento de Informática`","PDF p. 1, electronic-signature statement: signed on `14/03/2019`; no separate document-date field stated","Normalized spacing/line breaks only; retained inventory transcription's `ﬂutuante`; source PDF prevails; applicability remains indeterminado."
CI1218-ficha-1,Ficha 1,CI1218,Bancos de Dados,"Conceitos básicos de bancos de dados e sistema gerenciadores de bancos de dados (SGBD); Modelos de dados e linguagens de consultas; Processamento de consultas e otimização; Projeto de bancos de dados; Conceitos de transações; Controle de concorrência e recuperação. Gasto energético e meio ambiente.",60,"Departamento de Informática; Setor de Ciências Exatas; Universidade Federal do Paraná",not stated,"26/06/2018; 27/06/2018",indeterminado,curriculos/2023/fichas/dinf/CI1218/ficha-1.pdf,85154d13ab06357b3cb1071dc6d4c45730151c0f81a0afb5b7eebc90197e7358,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/CI1218-Bancos-de-Dados.pdf,"PDF p. 1, field `Disciplina` = `Bancos de Dados`; field `Código` = `CI 1218`","PDF p. 1, section heading `EMENTA`, paragraph below heading","PDF p. 1, field `CH Total` = `60`","PDF p. 1, institutional header: `UNIVERSIDADE FEDERAL DO PARANÁ`; `SETOR DE CIÊNCIAS EXATAS`; `Departamento de Informática`","PDF p. 2, two electronic-signature statements: signed on `26/06/2018` and `27/06/2018`; no separate document-date field stated","Normalized spacing/line breaks only; PDF code has `CI 1218`; normalized code follows the existing inventory/manifest. Applicability remains indeterminado."
CI1221-ficha-1,Ficha 1,CI1221,Engenharia de Software,"Software. Engenharia de software. Processos e modelos de processos de software. Gestão de projeto de software. Ética. Biodiversidade. Técnicas de Reuso. Manutenção e evolução. Computação e a sociedade. Politicas nacionais de computação.",60,"Departamento de Informática; Setor de Ciências Exatas; Universidade Federal do Paraná",not stated,29/10/2018,indeterminado,curriculos/2023/fichas/dinf/CI1221/ficha-1.pdf,797917a917bdf10065b00957885b806408847df727053030fae0e4277fc7d86f,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/CI1221-Engenharia-de-Software.pdf,"PDF p. 1, field `Disciplina` = `Engenharia de Software`; field `Código` = `CI1221`","PDF p. 1, section heading `EMENTA`, paragraph below heading","PDF p. 1, field `CH Total` = `60`","PDF p. 1, institutional header: `UNIVERSIDADE FEDERAL DO PARANÁ`; `SETOR DE CIÊNCIAS EXATAS`; `Departamento de Informática`","PDF p. 2, electronic-signature statement: signed on `29/10/2018`; no separate document-date field stated","Normalized spacing/line breaks only; retained inventory transcription's `Politicas`; source PDF prevails; applicability remains indeterminado."
CI1316-ficha-1,Ficha 1,CI1316,Programação Paralela,"Introdução ao paralelismo. Análise de algoritmos paralelos. Avaliação de desempenho. Programação multithreading e multi-processos.",60,"Departamento de Informática; Setor de Ciências Exatas; Universidade Federal do Paraná",not stated,06/11/2018,indeterminado,curriculos/2023/fichas/dinf/CI1316/ficha-1.pdf,cabf4d62a7024ac5f740a781044b0d1a3e320754ba771eea54ea5d48ffe8ef69,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/CI1316-Programa%C3%A7%C3%A3o-Paralela.pdf,"PDF p. 1, field `Disciplina` = `Programação Paralela`; field `Código` = `CI1316`","PDF p. 1, section heading `EMENTA`, paragraph below heading","PDF p. 1, field `CH Total` = `60`","PDF p. 1, institutional header: `UNIVERSIDADE FEDERAL DO PARANÁ`; `SETOR DE CIÊNCIAS EXATAS`; `Departamento de Informática`","PDF p. 1, electronic-signature statement: signed on `06/11/2018`; no separate document-date field stated","Normalized spacing/line breaks only; source PDF prevails; applicability remains indeterminado."
CI1350-ficha-1,Ficha 1,CI1350,Interação Humano-Computador,"Introdução à Interação Humano-Computador (IHC); Conceitos básicos em IHC; Qualidade em IHC; Teorias de IHC; Ética no projeto da IHC; Design Socialmente Consciente; Design Participativo e Design Universal; Especiﬁcação, Modelagem e Prototipação em IHC; Técnicas e Ferramentas de Prototipação; Avaliação em IHC. Ética na computação. Computação e a sociedade. Politicas nacionais de acessibilidade.",60,"Departamento de Informática; Setor de Ciências Exatas; Universidade Federal do Paraná",not stated,"26/06/2018; 27/06/2018",indeterminado,curriculos/2023/fichas/dinf/CI1350/ficha-1.pdf,dcb36c82f988408238c203f4545d1832354f3622a1ffacfddc4092a86ad188ae,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/CI1350-Intera%C3%A7%C3%A3o-Humano-Computador.pdf,"PDF p. 1, field `Disciplina` = `Interação Humano-Computador`; field `Código` = `CI 1350`","PDF p. 1, section heading `EMENTA`, paragraph below heading","PDF p. 1, field `CH Total` = `60`","PDF p. 1, institutional header: `UNIVERSIDADE FEDERAL DO PARANÁ`; `SETOR DE CIÊNCIAS EXATAS`; `Departamento de Informática`","PDF p. 2, two electronic-signature statements: signed on `26/06/2018` and `27/06/2018`; no separate document-date field stated","Normalized spacing/line breaks only; PDF code has `CI 1350`; normalized code follows the existing inventory/manifest. Retained inventory transcription's `Especiﬁcação` and `Politicas`; applicability remains indeterminado."
