document_id,document_kind,code,source_title,term_or_period,class_identifier,plan_version,document_date,applicability_2023,unit_department,permanent_fields,ementa,program,objectives,method,evaluation,bibliography,teacher_fields,source_path,source_sha256,source_url,source_locators,normalization_notes
CI1001-ficha-2,Ficha 2,CI1001,Programação 1,not stated,not stated,Ficha 2 (variável),not stated,indeterminado,Universidade Federal do Paraná; Setor de Ciências Exatas; Departamento de Informática,"CH Total 60; CH semanal 4; pré-requisito CI1055; co-requisito not stated; presencial; semestral","Uso dirigido de ferramentas para programação. Estudo de estruturas de dados básicas. Práticas de programação.","10 tópicos: Linux; ferramentas de programação; C; registros/enumeration; ponteiros; estruturas de dados; memória; listas/filas/pilhas; implementação; testes e depuração.","Geral: compreender o modelo atual de programação e desenvolver soluções elementares eficientes. Específico: not stated.","Aulas expositivas e práticas em laboratório; projetos de programação.","Projetos individuais, demonstração e defesa perante o professor; três ou mais projetos.","Básica e complementar, source-stated; títulos no PDF pp. 2-3.","Marcos Alexandre Castilho; assinatura eletrônica 28/05/2019 16:35.",curriculos/2023/fichas/dinf/CI1001/ficha-2.pdf,84c915a688a91dbd12a2dc5b02880a9e527794e8fdbf93593a6c020fd46253ab,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/2CI1001-Programa%C3%A7%C3%A3o-1.pdf,"identity/permanent fields/ementa/program/objective: PDF p. 1; method/evaluation/bibliography: PDF p. 2; teacher/signature: PDF p. 3",Whitespace and ligature normalization only; source pagination/footer excluded.
CI1002-ficha-2,Ficha 2,CI1002,Programação 2,not stated,not stated,Ficha 2 (variável),not stated,indeterminado,Universidade Federal do Paraná; Setor de Ciências Exatas; Departamento de Informática,"CH Total 60; CH semanal 4; pré-requisito CI1001; co-requisito not stated; presencial; semestral","Uso de técnicas avançadas para desenvolvimento de software. Práticas de projetos de desenvolvimento de programas de média e alta complexidade.","Conceitos avançados de C; arquivos; ponteiros; modularização/Makefile; bibliotecas; testes; projetos de média e alta complexidade.","Geral: desenvolver programas de média/alta complexidade com algoritmos e estruturas de dados, considerando eficiência. Específico: sete objetivos sobre C, arquivos, ponteiros, modularização, bibliotecas, testes e projetos.","Aulas expositivas e práticas em laboratório com computadores e projetor; projetos de programação.","Três ou mais projetos individuais, com demonstração e defesa perante o professor.","Básica: Kernighan/Ritchie; Medina/Fertig; Tenenbaum et al. Complementar: Ziviani; Schildt; Prinz; Szwarcfiter/Markenzon; Knuth; source-stated.","Armando Luiz Nicolini Delgado; assinatura eletrônica 25/10/2018 11:35.",curriculos/2023/fichas/dinf/CI1002/ficha-2.pdf,38fa483c190948cb22650b4be7b2fad869c1d4873246ef20ec64b63b167762b6,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/2CI1002-Programa%C3%A7%C3%A3o-2.pdf,"identity/permanent fields/ementa/program/objective: PDF p. 1-2; method/evaluation/bibliography/signature: PDF p. 2",Whitespace and ligature normalization only; source pagination/footer excluded.
CI1005-ficha-2,Ficha 2,CI1005,Qualidade de Software,not stated,not stated,Ficha 2 (variável),not stated,indeterminado,Universidade Federal do Paraná; Setor de Ciências Exatas; Departamento de Informática,"CH Total 60; CH semanal 4; pré-requisitos CI1055/CI1068/CI1003/CMA111/CM304/CI1056/CI1210/CI1001/CMA211/CM303/CI1057/CI1212/CI1002/CI1237/CE009/CI1163; co-requisito not stated; presencial; semestral","Qualidade de software. Métricas de qualidade. Gerenciamento de Configuração. Verificação e Validação. Teste de software. Qualidade de processo.","Introdução; qualidade de produto; modelos/gestão/medição/requisitos; qualidade de processo; verificação e validação; teste; desenvolvimento orientado a testes; gerenciamento de configuração.","Geral: adquirir informações essenciais, visão geral de atividades de qualidade e aplicação em sistemas. Específico: conhecer e aplicar técnicas das atividades envolvidas.","Aulas expositivo-dialogadas; exercícios individuais/equipes; trabalhos práticos e estudo de caso; quadro, notebook e projetor.","Trabalhos práticos, provas e seminários.","Básica: Rocha/Maldonado/Weber; Kan; Bartié; Maldonado/Jino/Delamaro. Complementar: Koscianski/Soares; Rios; Sommerville; Pressman; source-stated.","Andrey Ricardo Pimentel; assinatura eletrônica 29/10/2018 17:28.",curriculos/2023/fichas/dinf/CI1005/ficha-2.pdf,b16a1f8b6c5e2aca1b6678734c212525ae0ba35826769a880605b36d3d8246e8,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/2CI1005-Qualidade-de-Software.pdf,"identity/permanent fields/ementa/program/objectives: PDF p. 1-2; method/evaluation/bibliography/signature: PDF p. 2-3",Whitespace and ligature normalization only; source pagination/footer excluded.
CI1007-ficha-2,Ficha 2,CI1007,Segurança Computacional,not stated,not stated,Ficha 2 (variável),not stated,indeterminado,Universidade Federal do Paraná; Setor de Ciências Exatas; Departamento de Informática,"CH Total 60; CH semanal 4; pré-requisitos listed in PDF; co-requisito not stated; presencial; semestral","Conceitos básicos. Introdução à criptografia. Autenticação e controle de acesso. Segurança de sistemas e aplicações. Segurança em redes e na Internet. Auditoria. Gestão da segurança. Ética na computação. Computação e a sociedade. Políticas nacionais de segurança da informação.","Conceitos; criptografia; autenticação; controle de acesso; sistemas/aplicações; redes; auditoria; gestão; políticas nacionais.","Geral/específico: source-stated security concepts, controls, auditing, management and ethics; see locator.","Aulas expositivas, exercícios e trabalhos práticos; source-stated.","Provas e trabalhos práticos; source-stated.","Básica e complementar, source-stated; titles on PDF pp. 2-3.","Carlos Alberto Maziero; assinatura eletrônica 31/10/2018 06:23.",curriculos/2023/fichas/dinf/CI1007/ficha-2.pdf,ec0352d9e4ed3a4f066cfa3b6a7b95e1216be346869a61f66e8010905a72afa4,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/2CI1007-Seguran%C3%A7a-Computacional.pdf,"identity/permanent fields/ementa/program/objectives: PDF p. 1-2; method/evaluation/bibliography/signature: PDF p. 2-3",Whitespace and ligature normalization only; source pagination/footer excluded.
CI1055-ficha-2,Ficha 2,CI1055,Algoritmos e Estruturas de Dados 1,not stated,not stated,Ficha 2 (variável),not stated,indeterminado,Universidade Federal do Paraná; Setor de Ciências Exatas; Departamento de Informática,"CH Total 60; CH semanal 4; pré-requisitos listed in PDF; co-requisito not stated; presencial; semestral","Programação de computadores em linguagem de alto nível: do modelo Von Neumann à programação estruturada com estruturas de dados elementares. Tipos abstratos de dados simples. Noções básicas de custo e de teste de programas.","Três partes: introdução/Von Neumann/comandos; arrays e algoritmos; funções, procedimentos, programação modular e tipos abstratos de dados.","Geral: primeira disciplina de programação, fundamentos e práticas para disciplinas subsequentes. Específico: comandos; estruturas de dados; programação modular; complexidade intuitiva; TADs.","Aulas teóricas expositivas; exercícios em sala; laboratório; exercícios complementares e submissão automática; Pascal/Free Pascal.","Três provas com pesos 1, 2 e 3; conteúdo proporcional às três etapas.","Básica e complementar, source-stated; titles on PDF pp. 2-3.","Marcos Alexandre Castilho; assinatura eletrônica 28/05/2019 16:23.",curriculos/2023/fichas/dinf/CI1055/ficha-2.pdf,42f73a148ef1a696f4e0b6fbb3c30c7f8138b0f6a2cad7adaa5ca5e60cd1274b,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/2CI1055-Algoritmos-e-Estruturas-de-Dados-1.pdf,"identity/permanent fields/ementa/program/objectives: PDF p. 1-2; method/evaluation/bibliography/signature: PDF p. 2-3",Whitespace and ligature normalization only; source pagination/footer excluded.
CI1056-ficha-2,Ficha 2,CI1056,Algoritmos e Estruturas de Dados 2,not stated,not stated,Ficha 2 (variável),not stated,indeterminado,Universidade Federal do Paraná; Setor de Ciências Exatas; Departamento de Informática,"CH Total 60; CH semanal 4; pré-requisitos listed in PDF; co-requisito not stated; presencial; semestral","Recursão; Busca; Ordenação; Heaps; Contagem de recursos computacionais.","Recursão; busca; ordenação; heaps; remoção de recursão; análise por contagem e relações de recorrência.","Geral: recursão aplicada a busca, ordenação, problemas numéricos e heap; avaliar recursos com recorrências simples. Específico: recursividade; algoritmos numéricos/busca/ordenação; heaps; eficiência; melhor/pior caso; recorrências; estudos empíricos.","Aulas expositivo-dialogadas; quadro de giz e projetor multimídia.","Provas e trabalhos práticos.","Básica e complementar, source-stated; titles on PDF pp. 2-3.","Andre Luis Vignatti; assinatura eletrônica 27/02/2019 10:28.",curriculos/2023/fichas/dinf/CI1056/ficha-2.pdf,2ab19eb5b0ad0a97f2969fee48d20d1e3b7ca4d96c4ec84d54e0984349f6fb74,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/2CI1056-Algoritmos-e-Estrutura-de-Dados-2.pdf,"identity/permanent fields/ementa/program/objectives: PDF p. 1-2; method/evaluation/bibliography/signature: PDF p. 2-3",Bullets joined with semicolons; whitespace and ligature normalization only.
CI1057-ficha-2,Ficha 2,CI1057,Algoritmos e Estruturas de Dados 3,not stated,not stated,Ficha 2 (variável),not stated,indeterminado,Universidade Federal do Paraná; Setor de Ciências Exatas; Departamento de Informática,"CH Total 60; CH semanal 4; pré-requisitos listed in PDF; co-requisito not stated; presencial; semestral","Acesso seqüencial, indexado. Tipo abstrato de dados dicionário. Ordenação externa. Algoritmos gulosos.","Acesso/indexação/hash; listas e pilhas; TAD dicionário; árvores/AVL/B/B+/ISAM/Trie; compressão Huffman.","Geral: algoritmos e estruturas para TAD dicionário, compressão, ordenação e busca externa. Específico: TAD dicionário; árvores e hash; implementação estruturada.","Aulas expositivas e trabalhos práticos de programação.","Duas provas discursivas e trabalhos práticos.","Básica e complementar, source-stated; titles on PDF pp. 2-3.","Marcos Didonet Del Fabro; assinatura eletrônica 26/10/2018 13:53.",curriculos/2023/fichas/dinf/CI1057/ficha-2.pdf,b88ea7b59c1f1f2fa07ab99bf88d135a0d8f4cdb7493091dea2c7e40b3ea478b,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/2CI1057-Algoritmos-e-estruturas-de-dados-3.pdf,"identity/permanent fields/ementa/program/objectives: PDF p. 1-2; method/evaluation/bibliography/signature: PDF p. 2-3",Whitespace and ligature normalization only; source spelling seqüencial retained.
CI1062-ficha-2,Ficha 2,CI1062,Paradigmas de Programação,not stated,not stated,Ficha 2 (variável),not stated,indeterminado,Universidade Federal do Paraná; Setor de Ciências Exatas; Departamento de Informática,"CH Total 60; CH semanal 4; pré-requisitos listed in PDF; co-requisito not stated; presencial; semestral","Aprender diferentes paradigmas de programação estruturados e não estruturados.","Orientação a objetos; técnicas avançadas OO; programação funcionalista; programação lógica; paradigmas e linguagens.","Geral/específico: apresentar e analisar paradigmas e respectivas técnicas; source-stated.","Aulas expositivas e trabalhos práticos.","Provas discursivas e trabalhos práticos.","Básica e complementar, source-stated; titles on PDF pp. 2-3.","Marcos Didonet Del Fabro; assinatura eletrônica 26/10/2018 13:40.",curriculos/2023/fichas/dinf/CI1062/ficha-2.pdf,fe80ce8b01026d0ebbc01dbeeb16a0f60b08adcb71f09d2e9e04027718c88a1b,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/2CI1062-Paradigmas-de-Programa%C3%A7%C3%A3o.pdf,"identity/permanent fields/ementa/program/objectives: PDF p. 1-2; method/evaluation/bibliography/signature: PDF p. 2",Whitespace and ligature normalization only; source pagination/footer excluded.
CI1068-ficha-2,Ficha 2,CI1068,Circuitos Digitais,not stated,not stated,Ficha 2 (variável),not stated,indeterminado,Universidade Federal do Paraná; Setor de Ciências Exatas; Departamento de Informática,"CH Total 60; CH semanal 4; pré-requisitos listed in PDF; co-requisito not stated; presencial; semestral","Sistemas de numeração. Aritmética binária. Minimização e decomposição de funções booleanas. Circuitos combinacionais. Circuitos sequenciais. Máquinas de estados.","Sistemas de numeração; aritmética binária; álgebra booleana; Karnaugh; portas; blocos combinacionais; latches/flip-flops; contadores; máquinas de estados.","Geral: bases numéricas, eletrônica digital, circuitos lógicos e máquinas de estados. Específico: source-stated objectives on PDF p. 2.","Aulas expositivas com material de apoio, listas e bibliografia; laboratório com problemas.","Duas provas e dois trabalhos práticos.","Básica e complementar, source-stated; titles on PDF pp. 2-3.","Marco Antonio Zanata Alves; assinatura eletrônica 22/10/2018 14:30.",curriculos/2023/fichas/dinf/CI1068/ficha-2.pdf,6e058bd05aa110655c29802e29dc4251c719a070b6a05dcca10d35317b4dbb5c,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/2CI1068-Circuitos-Digitais.pdf,"identity/permanent fields/ementa/program/objectives: PDF p. 1-2; method/evaluation/bibliography/signature: PDF p. 2",Whitespace and ligature normalization only.
CI1163-ficha-2,Ficha 2,CI1163,Design de Software,not stated,not stated,Ficha 2 (variável),not stated,indeterminado,Universidade Federal do Paraná; Setor de Ciências Exatas; Departamento de Informática,"CH Total 60; CH semanal 4; pré-requisitos listed in PDF; co-requisito not stated; presencial; semestral","Design de software. Interação entre análise de requisitos e design. Modelos de design de software. Linguagem de modelagem. Design da arquitetura de software. Design detalhado. Construção de modelos de design de software. Padrões de design. Revisões e inspeções. Correspondência entre design e codificação.","Fundamentos; arquitetura/estilos/padrões; design detalhado; UML/modelagem; padrões; revisões/inspeções; correspondência design-código.","Geral/específico: compreender e aplicar design, arquitetura, modelagem, padrões e inspeções; source-stated.","Aulas expositivas e trabalhos práticos.","Provas e trabalhos práticos; source-stated.","Básica e complementar, source-stated; titles on PDF pp. 2-3.","Andrey Ricardo Pimentel; assinatura eletrônica 29/10/2018 17:02.",curriculos/2023/fichas/dinf/CI1163/ficha-2.pdf,a6ab7995bada41bcdd9682b5fe6911efde431ec27947cbcdd130118a8fe17086,https://web.inf.ufpr.br/dinf/wp-content/uploads/sites/2/2020/05/2CI1163-Design-de-Software.pdf,"identity/permanent fields/ementa/program/objectives: PDF p. 1-2; method/evaluation/bibliography/signature: PDF p. 2-3",Whitespace and ligature normalization only.
