id,path,source_url,institution,document_type,version_or_date,accessed_at,sha256,status,notes
2011-res34,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,https://www.inf.ufpr.br/infobiomedica/Arquivos/CEPE_Resolucao_34_2010.pdf,UFPR,resolution,2010,2026-09-04,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,preserved,Primary curriculum act
2011-ppc,curriculos/2011/fontes/ppc-2011.pdf,https://ibm.inf.ufpr.br/media/ppc-bib-1-1.pdf,UFPR,PPC,2010-07-30,2026-09-04,ab0bf7e45575baa9ad8cad429d5f5e2467093a5dd8c2852c7d54cdd0ec1f891d,preserved,Original project for implementation curriculum
2011-page-grade,curriculos/2011/fontes/pagina-grade-2011.html,https://site-ibm-bbec98.pages.c3sl.ufpr.br/antigo/grade-2011/,UFPR,HTML page,2025-10-22,2026-09-04,464c06cb964c2caa582acfcaa2ce983f83297efad070e9265e94dfee9c349e36,preserved,Retrospective page
2011-page-duration,curriculos/2011/fontes/pagina-curriculo-2011.html,https://site-ibm-bbec98.pages.c3sl.ufpr.br/antigo/curriculo-2011/,UFPR,HTML page,2025-10-24,2026-09-04,ffb176ca0cf539ea6480f85fe89bd82c762c8eaa58add534b406a45f3511a915,preserved,Retrospective page
2011-page-ppc,curriculos/2011/fontes/pagina-ppc-2011.html,https://site-ibm-bbec98.pages.c3sl.ufpr.br/antigo/projeto-pedagogico-2011/,UFPR,HTML page,2025-10-22,2026-09-04,ba01dee18e8d6a9f2ca786968358ceda6bbb869b9afc21879a55da9e39a51fe1,preserved,Retrospective page
2023-ppc,curriculos/2023/fontes/ppc-2023.pdf,https://ibm.inf.ufpr.br/media/PPC_2023.pdf,UFPR,PPC,2023,2026-09-04,548f86328dd3a6940fda5535374882170d083eedb729bba601638bb7f26e4de6,preserved,Already present before this batch
2023-res75,curriculos/2023/fontes/resolucao-75-22-cepe.pdf,https://soc.ufpr.br/wp-content/uploads/2023/01/RESOLUCAO-75-22-CEPE.pdf,UFPR,resolution,2022,2026-09-04,b003d94ffe7a5d91b4f352c6531186cbf2e1ce3a3ee2acc5e1267ad572826d1d,preserved,Primary current curriculum act
2023-dinf-index,curriculos/2023/fontes/pagina-dinf-disciplinas.html,https://web.inf.ufpr.br/dinf/?page_id=232,UFPR,HTML index,current page captured 2026-09-04,2026-09-04,aef453c94119c3ff934d98da0deb83d1ba85f8b27711bbaa5a36d9f79d2fbb4a,preserved,Source index for DInf Fichas
2026-edital,administracao/mec/2026/edital-01-2026-prograp-proplad.pdf,user-provided file,UFPR,internal call,2026,2026-09-03,dc8b4a809155f4995224ecc25c71ad873357ff605e04ceb92aaa25b659897a11,preserved,Original filename recorded in administrative README
2026-apendice-b,administracao/mec/2026/apendice-b-proposta-informatica-biomedica.pdf,user-provided file,UFPR,proposal form,2026,2026-09-03,994b17a9b1915a8d0dfc3104d01e7cc4d49b7f85e4002102687ee2e543109052,preserved,Original filename recorded in administrative README
