title,institution,source_url,access_date,document_date_or_version,document_type,local_path,sha256,evidentiary_purpose
Docker,Tailscale,https://tailscale.com/docs/features/containers/docker,2026-09-07,Last validated 2026-03-23,HTML capture,infrastructure/tailscale/sources/tailscale-docker.html,c2894894b0a5e30b354ff208db54e8972a2278d39a99c321c72f0b4ec3c2597f,Confirm current official Docker guidance and route to configuration parameters
Docker,Tailscale,https://tailscale.com/docs/features/containers/docker.md,2026-09-07,Last validated 2026-03-23,Markdown capture,infrastructure/tailscale/sources/tailscale-docker.md.source,e145a84e71b7b4f2e3521d7b52bc0e4c78f63f57f162b40a3bbbc177b5b6ac95,Confirm current official Docker guidance and related Compose pattern
Docker configuration parameters,Tailscale,https://tailscale.com/docs/features/containers/docker/docker-params.md,2026-09-07,Last validated 2026-03-23,Markdown capture,infrastructure/tailscale/sources/tailscale-docker-params.md.source,87cfcba2979d935615949d46943299ddb8a0811abbd6f74cf3c3d12600952954,Establish TS_AUTHKEY TS_AUTH_ONCE TS_HOSTNAME TS_STATE_DIR TS_USERSPACE and health configuration
Connect a Docker container to your tailnet with Docker Compose,Tailscale,https://tailscale.com/docs/features/containers/docker/how-to/connect-docker-container.md,2026-09-07,Last validated 2026-03-23,Markdown capture,infrastructure/tailscale/sources/tailscale-docker-compose.md.source,52f0b76588b0ee332504877b9a4115885817034b31dab98557f668e61647a615,Confirm current official Compose authentication persistence and container pattern
Tailscale Funnel,Tailscale,https://tailscale.com/docs/features/tailscale-funnel,2026-09-07,Last validated 2026-01-20,HTML capture,infrastructure/tailscale/sources/tailscale-funnel.html,a6b7e452ea022ed1c4c3070e21d44dc93a4c59870e727a5f8863ca2af750fe0a,Establish current Funnel requirements limitations and administrative dependencies
Tailscale Funnel,Tailscale,https://tailscale.com/docs/features/tailscale-funnel.md,2026-09-07,Last validated 2026-01-20,Markdown capture,infrastructure/tailscale/sources/tailscale-funnel.md.source,32f713687a8b4acc3900a176d34b8ca1af7db4f0f134163eac3a546e05e40318,Establish current Funnel requirements limitations and administrative dependencies
tailscale funnel command,Tailscale,https://tailscale.com/docs/reference/tailscale-cli/funnel.md,2026-09-07,Last validated 2026-01-26,Markdown capture,infrastructure/tailscale/sources/tailscale-cli-funnel.md.source,0396d9e7d7661194ee83fa853bc9e6286b517c2ec551bfcb310d78a5f45ac73e,Establish current CLI syntax loopback proxy constraint status command and persistent background mode
Tailscale Serve,Tailscale,https://tailscale.com/docs/features/tailscale-serve,2026-09-07,Last validated 2026-01-20,HTML capture,infrastructure/tailscale/sources/tailscale-serve.html,e5f82db3fc1fc6aa1b8c1ac1ea41bf76666caf8debc6ad0549275005f9215586,Distinguish tailnet-only Serve from public Funnel
Tailscale Serve,Tailscale,https://tailscale.com/docs/features/tailscale-serve.md,2026-09-07,Last validated 2026-01-20,Markdown capture,infrastructure/tailscale/sources/tailscale-serve.md.source,537605f2a658805fb3cde68d8df1dacd7df0e7dcd8b60c187db4af0965d70b43,Distinguish tailnet-only Serve from public Funnel
tailscale serve CLI implementation,Tailscale,https://raw.githubusercontent.com/tailscale/tailscale/v1.102.3/cmd/tailscale/cli/serve_v2.go,2026-09-07,v1.102.3,Go source capture,infrastructure/tailscale/sources/tailscale-v1.102.3-serve-v2.go.source,6bedc8ae035963f443c7176f69fe631f802a524a216577df6c1981afdb54ae95,Verify tls-terminated TCP target parsing preserves a Docker service-name destination
Local backend Serve implementation,Tailscale,https://raw.githubusercontent.com/tailscale/tailscale/v1.102.3/ipn/ipnlocal/serve.go,2026-09-07,v1.102.3,Go source capture,infrastructure/tailscale/sources/tailscale-v1.102.3-ipnlocal-serve.go.source,e6c03677c4fa5ba650f73100a459d5533b0767796eab88c77d675f7e478f3c86,Verify the configured TCP destination is dialed through the container system resolver
Tailscale container boot implementation,Tailscale,https://raw.githubusercontent.com/tailscale/tailscale/v1.102.3/cmd/containerboot/main.go,2026-09-07,v1.102.3,Go source capture,infrastructure/tailscale/sources/tailscale-v1.102.3-containerboot.go.source,6a446c99206b8fa1028d1b3ea0a04be83710d0f06c34d79b10edccab26303ba0,Verify supported TS_BOOT_TIMEOUT behavior during coordinated initial authentication
Tailscale Serve configuration types,Tailscale,https://raw.githubusercontent.com/tailscale/tailscale/v1.102.3/ipn/serve.go,2026-09-07,v1.102.3,Go source capture,infrastructure/tailscale/sources/tailscale-v1.102.3-ipn-serve.go.source,6776fb414ebeac4ea316e1da87cd038d0e8904b3778310e73ff56c0a9065b51f,Verify declarative Web TCP and AllowFunnel configuration fields and remote proxy target support
